INSERT INTO locationTypeSales VALUES('FDA15', 'OUT049', 'Tier 1', 3735.138);
INSERT INTO locationTypeSales VALUES('FDB34', 'OUT027', 'Tier 3', 2180.495);
INSERT INTO locationTypeSales VALUES('FDU02', 'OUT046', 'Tier 1', 3435.528);
INSERT INTO locationTypeSales VALUES('FDK43', 'OUT013', 'Tier 3', 2150.534);
INSERT INTO locationTypeSales VALUES('FDA46', 'OUT049', 'Tier 1', 2527.3768);
INSERT INTO locationTypeSales VALUES('FDC02', 'OUT018', 'Tier 3', 6768.5228);
INSERT INTO locationTypeSales VALUES('FDL50', 'OUT013', 'Tier 3', 373.5138);
INSERT INTO locationTypeSales VALUES('FDM39', 'OUT010', 'Tier 3', 358.2004);
INSERT INTO locationTypeSales VALUES('NCP05', 'OUT045', 'Tier 2', 2428.8384);
INSERT INTO locationTypeSales VALUES('FDV49', 'OUT045', 'Tier 2', 5815.0972);
INSERT INTO locationTypeSales VALUES('FDL12', 'OUT046', 'Tier 1', 2576.646);
INSERT INTO locationTypeSales VALUES('FDS02', 'OUT019', 'Tier 1', 780.3176);
INSERT INTO locationTypeSales VALUES('NCL17', 'OUT046', 'Tier 1', 3134.5864);
INSERT INTO locationTypeSales VALUES('FDM40', 'OUT013', 'Tier 3', 850.8924);
INSERT INTO locationTypeSales VALUES('FDR13', 'OUT013', 'Tier 3', 810.9444);
INSERT INTO locationTypeSales VALUES('FDA43', 'OUT017', 'Tier 2', 3121.2704);
INSERT INTO locationTypeSales VALUES('NCP18', 'OUT017', 'Tier 2', 4815.0656);
INSERT INTO locationTypeSales VALUES('FDK21', 'OUT018', 'Tier 3', 6258.52);
INSERT INTO locationTypeSales VALUES('NCX54', 'OUT045', 'Tier 2', 2117.244);
INSERT INTO locationTypeSales VALUES('DRK35', 'OUT049', 'Tier 1', 796.9626);
INSERT INTO locationTypeSales VALUES('FDY21', 'OUT046', 'Tier 1', 4910.275);
INSERT INTO locationTypeSales VALUES('FDI26', 'OUT019', 'Tier 1', 892.172);
INSERT INTO locationTypeSales VALUES('FDM20', 'OUT018', 'Tier 3', 3185.1872);
INSERT INTO locationTypeSales VALUES('FDV27', 'OUT045', 'Tier 2', 1062.6168);
INSERT INTO locationTypeSales VALUES('FDF09', 'OUT027', 'Tier 3', 484.7024);
INSERT INTO locationTypeSales VALUES('FDY40', 'OUT019', 'Tier 1', 147.8076);
INSERT INTO locationTypeSales VALUES('FDY45', 'OUT027', 'Tier 3', 2543.356);
INSERT INTO locationTypeSales VALUES('FDC46', 'OUT010', 'Tier 3', 184.4266);
INSERT INTO locationTypeSales VALUES('FDH19', 'OUT035', 'Tier 2', 4865.6664);
INSERT INTO locationTypeSales VALUES('FDZ03', 'OUT045', 'Tier 2', 1118.544);
INSERT INTO locationTypeSales VALUES('DRH37', 'OUT045', 'Tier 2', 2302.3364);
INSERT INTO locationTypeSales VALUES('NCI17', 'OUT046', 'Tier 1', 2027.361);
INSERT INTO locationTypeSales VALUES('FDJ58', 'OUT046', 'Tier 1', 3435.528);
INSERT INTO locationTypeSales VALUES('FDL12', 'OUT013', 'Tier 3', 599.22);
INSERT INTO locationTypeSales VALUES('FDH35', 'OUT045', 'Tier 2', 4604.6728);
INSERT INTO locationTypeSales VALUES('FDG02', 'OUT017', 'Tier 2', 2285.0256);
INSERT INTO locationTypeSales VALUES('NCZ18', 'OUT049', 'Tier 1', 5580.7356);
INSERT INTO locationTypeSales VALUES('FDC29', 'OUT046', 'Tier 1', 2290.352);
INSERT INTO locationTypeSales VALUES('FDQ10', 'OUT049', 'Tier 1', 1207.0954);
INSERT INTO locationTypeSales VALUES('FDN48', 'OUT019', 'Tier 1', 643.1628);
INSERT INTO locationTypeSales VALUES('FDL04', 'OUT017', 'Tier 2', 1587.933);
INSERT INTO locationTypeSales VALUES('FDV25', 'OUT045', 'Tier 2', 5305.0944);
INSERT INTO locationTypeSales VALUES('FDD58', 'OUT046', 'Tier 1', 1697.79);
INSERT INTO locationTypeSales VALUES('FDN04', 'OUT046', 'Tier 1', 1427.4752);
INSERT INTO locationTypeSales VALUES('FDV45', 'OUT018', 'Tier 3', 4693.89);
INSERT INTO locationTypeSales VALUES('NCL18', 'OUT019', 'Tier 1', 583.2408);
INSERT INTO locationTypeSales VALUES('FDR12', 'OUT027', 'Tier 3', 3091.9752);
INSERT INTO locationTypeSales VALUES('FDG20', 'OUT017', 'Tier 2', 2479.4392);
INSERT INTO locationTypeSales VALUES('FDZ55', 'OUT035', 'Tier 2', 2716.464);
INSERT INTO locationTypeSales VALUES('FDQ49', 'OUT027', 'Tier 3', 3285.723);
INSERT INTO locationTypeSales VALUES('FDN33', 'OUT046', 'Tier 1', 661.8052);
INSERT INTO locationTypeSales VALUES('FDN27', 'OUT049', 'Tier 1', 1523.3504);
INSERT INTO locationTypeSales VALUES('FDW20', 'OUT010', 'Tier 3', 369.519);
INSERT INTO locationTypeSales VALUES('DRG27', 'OUT049', 'Tier 1', 690.4346);
INSERT INTO locationTypeSales VALUES('DRI25', 'OUT045', 'Tier 2', 1381.535);
INSERT INTO locationTypeSales VALUES('FDA44', 'OUT035', 'Tier 2', 622.523);
INSERT INTO locationTypeSales VALUES('NCR17', 'OUT035', 'Tier 2', 1274.3412);
INSERT INTO locationTypeSales VALUES('FDU04', 'OUT019', 'Tier 1', 487.3656);
INSERT INTO locationTypeSales VALUES('FDF41', 'OUT049', 'Tier 1', 1231.73);
INSERT INTO locationTypeSales VALUES('FDB56', 'OUT035', 'Tier 2', 3755.112);
INSERT INTO locationTypeSales VALUES('NCP18', 'OUT027', 'Tier 3', 4363.6532);
INSERT INTO locationTypeSales VALUES('FDB56', 'OUT046', 'Tier 1', 1314.2892);
INSERT INTO locationTypeSales VALUES('FDT28', 'OUT045', 'Tier 2', 1805.6496);
INSERT INTO locationTypeSales VALUES('FDD10', 'OUT027', 'Tier 3', 2854.9504);
INSERT INTO locationTypeSales VALUES('FDW57', 'OUT049', 'Tier 1', 3896.2616);
INSERT INTO locationTypeSales VALUES('DRB48', 'OUT013', 'Tier 3', 667.7974);
INSERT INTO locationTypeSales VALUES('FDP09', 'OUT018', 'Tier 3', 3185.853);
INSERT INTO locationTypeSales VALUES('FDH14', 'OUT013', 'Tier 3', 2247.7408);
INSERT INTO locationTypeSales VALUES('FDA47', 'OUT013', 'Tier 3', 1794.331);
INSERT INTO locationTypeSales VALUES('FDG12', 'OUT045', 'Tier 2', 2530.7058);
INSERT INTO locationTypeSales VALUES('DRE60', 'OUT019', 'Tier 1', 679.116);
INSERT INTO locationTypeSales VALUES('DRK49', 'OUT013', 'Tier 3', 812.276);
INSERT INTO locationTypeSales VALUES('FDD03', 'OUT046', 'Tier 1', 699.09);
INSERT INTO locationTypeSales VALUES('FDS52', 'OUT017', 'Tier 2', 2732.4432);
INSERT INTO locationTypeSales VALUES('FDW39', 'OUT019', 'Tier 1', 176.437);
INSERT INTO locationTypeSales VALUES('FDX34', 'OUT027', 'Tier 3', 4097.3332);
INSERT INTO locationTypeSales VALUES('FDV11', 'OUT045', 'Tier 2', 3151.8972);
INSERT INTO locationTypeSales VALUES('FDD17', 'OUT049', 'Tier 1', 5942.265);
INSERT INTO locationTypeSales VALUES('FDZ16', 'OUT017', 'Tier 2', 4843.695);
INSERT INTO locationTypeSales VALUES('FDZ46', 'OUT035', 'Tier 2', 2542.0244);
INSERT INTO locationTypeSales VALUES('DRA12', 'OUT017', 'Tier 2', 2552.6772);
INSERT INTO locationTypeSales VALUES('FDY58', 'OUT018', 'Tier 3', 1141.847);
INSERT INTO locationTypeSales VALUES('NCF19', 'OUT017', 'Tier 2', 680.4476);
INSERT INTO locationTypeSales VALUES('DRJ13', 'OUT045', 'Tier 2', 2085.9514);
INSERT INTO locationTypeSales VALUES('FDB14', 'OUT010', 'Tier 3', 186.424);
INSERT INTO locationTypeSales VALUES('FDJ38', 'OUT035', 'Tier 2', 3036.048);
INSERT INTO locationTypeSales VALUES('FDW11', 'OUT017', 'Tier 2', 866.8716);
INSERT INTO locationTypeSales VALUES('FDL40', 'OUT035', 'Tier 2', 868.869);
INSERT INTO locationTypeSales VALUES('DRI49', 'OUT046', 'Tier 1', 1137.1864);
INSERT INTO locationTypeSales VALUES('FDV38', 'OUT017', 'Tier 2', 928.1252);
INSERT INTO locationTypeSales VALUES('DRG23', 'OUT013', 'Tier 3', 762.341);
INSERT INTO locationTypeSales VALUES('NCP30', 'OUT045', 'Tier 2', 707.0796);
INSERT INTO locationTypeSales VALUES('FDY25', 'OUT027', 'Tier 3', 7968.2944);
INSERT INTO locationTypeSales VALUES('NCH54', 'OUT046', 'Tier 1', 1438.128);
INSERT INTO locationTypeSales VALUES('NCR53', 'OUT027', 'Tier 3', 6976.2524);
INSERT INTO locationTypeSales VALUES('FDS52', 'OUT010', 'Tier 3', 101.2016);
INSERT INTO locationTypeSales VALUES('FDG02', 'OUT018', 'Tier 3', 952.094);
INSERT INTO locationTypeSales VALUES('NCO26', 'OUT046', 'Tier 1', 1969.4364);
INSERT INTO locationTypeSales VALUES('FDH35', 'OUT027', 'Tier 3', 5262.4832);
INSERT INTO locationTypeSales VALUES('FDB51', 'OUT045', 'Tier 2', 1314.2892);
INSERT INTO locationTypeSales VALUES('FDX44', 'OUT017', 'Tier 2', 535.3032);
INSERT INTO locationTypeSales VALUES('NCN07', 'OUT010', 'Tier 3', 263.6568);
INSERT INTO locationTypeSales VALUES('NCC31', 'OUT035', 'Tier 2', 1402.1748);
INSERT INTO locationTypeSales VALUES('NCX54', 'OUT017', 'Tier 2', 1693.7952);
INSERT INTO locationTypeSales VALUES('NCO55', 'OUT045', 'Tier 2', 2143.876);
INSERT INTO locationTypeSales VALUES('NCC30', 'OUT049', 'Tier 1', 2676.516);
INSERT INTO locationTypeSales VALUES('FDI16', 'OUT035', 'Tier 2', 905.488);
INSERT INTO locationTypeSales VALUES('FDP16', 'OUT049', 'Tier 1', 7370.406);
INSERT INTO locationTypeSales VALUES('FDB11', 'OUT035', 'Tier 2', 6301.1312);
INSERT INTO locationTypeSales VALUES('NCB06', 'OUT035', 'Tier 2', 1597.92);
INSERT INTO locationTypeSales VALUES('FDA45', 'OUT035', 'Tier 2', 529.311);
INSERT INTO locationTypeSales VALUES('NCO26', 'OUT035', 'Tier 2', 1969.4364);
INSERT INTO locationTypeSales VALUES('DRJ25', 'OUT017', 'Tier 2', 1034.6532);
INSERT INTO locationTypeSales VALUES('FDR28', 'OUT018', 'Tier 3', 1794.331);
INSERT INTO locationTypeSales VALUES('FDI04', 'OUT018', 'Tier 3', 2768.3964);
INSERT INTO locationTypeSales VALUES('DRK12', 'OUT027', 'Tier 3', 898.83);
INSERT INTO locationTypeSales VALUES('FDX20', 'OUT046', 'Tier 1', 3169.208);
INSERT INTO locationTypeSales VALUES('NCI18', 'OUT018', 'Tier 3', 3589.9936);
INSERT INTO locationTypeSales VALUES('FDB36', 'OUT018', 'Tier 3', 262.3252);
INSERT INTO locationTypeSales VALUES('FDN13', 'OUT017', 'Tier 2', 1910.1802);
INSERT INTO locationTypeSales VALUES('DRD24', 'OUT017', 'Tier 2', 1701.7848);
INSERT INTO locationTypeSales VALUES('FDQ28', 'OUT013', 'Tier 3', 2471.4496);
INSERT INTO locationTypeSales VALUES('FDM22', 'OUT013', 'Tier 3', 1331.6);
INSERT INTO locationTypeSales VALUES('FDR07', 'OUT027', 'Tier 3', 1808.9786);
INSERT INTO locationTypeSales VALUES('FDV25', 'OUT018', 'Tier 3', 3315.684);
INSERT INTO locationTypeSales VALUES('DRF49', 'OUT046', 'Tier 1', 2618.5914);
INSERT INTO locationTypeSales VALUES('FDW51', 'OUT046', 'Tier 1', 2769.728);
INSERT INTO locationTypeSales VALUES('DRL01', 'OUT017', 'Tier 2', 5375.0034);
INSERT INTO locationTypeSales VALUES('FDP25', 'OUT017', 'Tier 2', 2838.9712);
INSERT INTO locationTypeSales VALUES('FDL50', 'OUT018', 'Tier 3', 1743.0644);
INSERT INTO locationTypeSales VALUES('NCB30', 'OUT027', 'Tier 3', 5555.4352);
INSERT INTO locationTypeSales VALUES('FDW11', 'OUT018', 'Tier 3', 619.194);
INSERT INTO locationTypeSales VALUES('NCM43', 'OUT035', 'Tier 2', 2120.573);
INSERT INTO locationTypeSales VALUES('FDK44', 'OUT017', 'Tier 2', 3823.0236);
INSERT INTO locationTypeSales VALUES('FDM15', 'OUT013', 'Tier 3', 1360.2294);
INSERT INTO locationTypeSales VALUES('FDS31', 'OUT013', 'Tier 3', 3969.4996);
INSERT INTO locationTypeSales VALUES('FDI32', 'OUT010', 'Tier 3', 345.5502);
INSERT INTO locationTypeSales VALUES('FDR47', 'OUT010', 'Tier 3', 585.2382);
INSERT INTO locationTypeSales VALUES('FDB35', 'OUT045', 'Tier 2', 1010.6844);
INSERT INTO locationTypeSales VALUES('NCU05', 'OUT010', 'Tier 3', 161.1236);
INSERT INTO locationTypeSales VALUES('DRY23', 'OUT019', 'Tier 1', 42.6112);
INSERT INTO locationTypeSales VALUES('FDO24', 'OUT045', 'Tier 2', 3010.7476);
INSERT INTO locationTypeSales VALUES('FDQ28', 'OUT027', 'Tier 3', 6024.1584);
INSERT INTO locationTypeSales VALUES('FDV39', 'OUT045', 'Tier 2', 988.713);
INSERT INTO locationTypeSales VALUES('NCO17', 'OUT019', 'Tier 1', 239.688);
INSERT INTO locationTypeSales VALUES('FDU50', 'OUT013', 'Tier 3', 1374.2112);
INSERT INTO locationTypeSales VALUES('FDT12', 'OUT027', 'Tier 3', 4739.8302);
INSERT INTO locationTypeSales VALUES('FDK58', 'OUT018', 'Tier 3', 1012.016);
INSERT INTO locationTypeSales VALUES('FDO08', 'OUT019', 'Tier 1', 657.8104);
INSERT INTO locationTypeSales VALUES('NCW29', 'OUT049', 'Tier 1', 778.986);
INSERT INTO locationTypeSales VALUES('FDE04', 'OUT045', 'Tier 2', 2336.958);
INSERT INTO locationTypeSales VALUES('NCB19', 'OUT049', 'Tier 1', 2233.0932);
INSERT INTO locationTypeSales VALUES('FDV15', 'OUT049', 'Tier 1', 1661.8368);
INSERT INTO locationTypeSales VALUES('FDL58', 'OUT049', 'Tier 1', 4745.8224);
INSERT INTO locationTypeSales VALUES('FDA08', 'OUT045', 'Tier 2', 3124.5994);
INSERT INTO locationTypeSales VALUES('FDT43', 'OUT018', 'Tier 3', 467.3916);
INSERT INTO locationTypeSales VALUES('NCX06', 'OUT027', 'Tier 3', 5070.7328);
INSERT INTO locationTypeSales VALUES('FDT20', 'OUT046', 'Tier 1', 540.6296);
INSERT INTO locationTypeSales VALUES('FDB41', 'OUT046', 'Tier 1', 992.7078);
INSERT INTO locationTypeSales VALUES('NCN55', 'OUT049', 'Tier 1', 6008.845);
INSERT INTO locationTypeSales VALUES('FDE40', 'OUT027', 'Tier 3', 2105.2596);
INSERT INTO locationTypeSales VALUES('FDX49', 'OUT027', 'Tier 3', 5359.69);
INSERT INTO locationTypeSales VALUES('NCM53', 'OUT045', 'Tier 2', 745.696);
INSERT INTO locationTypeSales VALUES('FDE36', 'OUT035', 'Tier 2', 3275.736);
INSERT INTO locationTypeSales VALUES('FDN57', 'OUT045', 'Tier 2', 1701.7848);
INSERT INTO locationTypeSales VALUES('FDI24', 'OUT027', 'Tier 3', 6704.606);
INSERT INTO locationTypeSales VALUES('FDI19', 'OUT046', 'Tier 1', 4119.9704);
INSERT INTO locationTypeSales VALUES('FDF24', 'OUT010', 'Tier 3', 327.5736);
INSERT INTO locationTypeSales VALUES('FDG52', 'OUT049', 'Tier 1', 780.9834);
INSERT INTO locationTypeSales VALUES('DRF36', 'OUT045', 'Tier 2', 3630.6074);
INSERT INTO locationTypeSales VALUES('FDS45', 'OUT019', 'Tier 1', 317.5866);
INSERT INTO locationTypeSales VALUES('FDX40', 'OUT010', 'Tier 3', 231.6984);
INSERT INTO locationTypeSales VALUES('DRK12', 'OUT035', 'Tier 2', 133.16);
INSERT INTO locationTypeSales VALUES('DRC27', 'OUT035', 'Tier 2', 5650.6446);
INSERT INTO locationTypeSales VALUES('FDL58', 'OUT017', 'Tier 2', 2636.568);
INSERT INTO locationTypeSales VALUES('NCD30', 'OUT045', 'Tier 2', 1272.3438);
INSERT INTO locationTypeSales VALUES('NCZ54', 'OUT010', 'Tier 3', 324.9104);
INSERT INTO locationTypeSales VALUES('FDE10', 'OUT010', 'Tier 3', 131.1626);
INSERT INTO locationTypeSales VALUES('FDR44', 'OUT010', 'Tier 3', 260.9936);
INSERT INTO locationTypeSales VALUES('FDP28', 'OUT010', 'Tier 3', 260.9936);
INSERT INTO locationTypeSales VALUES('FDX15', 'OUT013', 'Tier 3', 3690.5294);
INSERT INTO locationTypeSales VALUES('FDA39', 'OUT035', 'Tier 2', 1139.1838);
INSERT INTO locationTypeSales VALUES('FDY24', 'OUT049', 'Tier 1', 1995.4026);
INSERT INTO locationTypeSales VALUES('FDC60', 'OUT017', 'Tier 2', 1416.8224);
INSERT INTO locationTypeSales VALUES('FDH28', 'OUT046', 'Tier 1', 265.6542);
INSERT INTO locationTypeSales VALUES('FDT25', 'OUT017', 'Tier 2', 3552.7088);
INSERT INTO locationTypeSales VALUES('DRJ13', 'OUT013', 'Tier 3', 2406.867);
INSERT INTO locationTypeSales VALUES('NCO07', 'OUT019', 'Tier 1', 213.056);
INSERT INTO locationTypeSales VALUES('FDW20', 'OUT013', 'Tier 3', 2956.152);
INSERT INTO locationTypeSales VALUES('DRF27', 'OUT019', 'Tier 1', 153.134);
INSERT INTO locationTypeSales VALUES('FDS49', 'OUT035', 'Tier 2', 1649.8524);
INSERT INTO locationTypeSales VALUES('FDX25', 'OUT027', 'Tier 3', 3101.2964);
INSERT INTO locationTypeSales VALUES('NCX42', 'OUT027', 'Tier 3', 4769.1254);
INSERT INTO locationTypeSales VALUES('FDG33', 'OUT027', 'Tier 3', 3435.528);
INSERT INTO locationTypeSales VALUES('FDL56', 'OUT045', 'Tier 2', 1133.8574);
INSERT INTO locationTypeSales VALUES('FDF14', 'OUT035', 'Tier 2', 2603.278);
INSERT INTO locationTypeSales VALUES('NCD06', 'OUT046', 'Tier 1', 605.878);
INSERT INTO locationTypeSales VALUES('DRM47', 'OUT027', 'Tier 3', 2293.0152);
INSERT INTO locationTypeSales VALUES('FDS46', 'OUT019', 'Tier 1', 119.1782);
INSERT INTO locationTypeSales VALUES('FDB35', 'OUT013', 'Tier 3', 1929.4884);
INSERT INTO locationTypeSales VALUES('FDX21', 'OUT027', 'Tier 3', 2074.6328);
INSERT INTO locationTypeSales VALUES('NCU05', 'OUT027', 'Tier 3', 241.6854);
INSERT INTO locationTypeSales VALUES('NCR38', 'OUT045', 'Tier 2', 6795.1548);
INSERT INTO locationTypeSales VALUES('NCR18', 'OUT017', 'Tier 2', 639.168);
INSERT INTO locationTypeSales VALUES('NCU41', 'OUT035', 'Tier 2', 3248.4382);
INSERT INTO locationTypeSales VALUES('FDY56', 'OUT017', 'Tier 2', 7222.5984);
INSERT INTO locationTypeSales VALUES('DRJ51', 'OUT035', 'Tier 2', 3225.1352);
INSERT INTO locationTypeSales VALUES('FDK21', 'OUT035', 'Tier 2', 3755.112);
INSERT INTO locationTypeSales VALUES('FDY25', 'OUT013', 'Tier 3', 3440.8544);
INSERT INTO locationTypeSales VALUES('FDU44', 'OUT035', 'Tier 2', 974.7312);
INSERT INTO locationTypeSales VALUES('FDL43', 'OUT049', 'Tier 1', 535.969);
INSERT INTO locationTypeSales VALUES('FDF05', 'OUT017', 'Tier 2', 5259.82);
INSERT INTO locationTypeSales VALUES('DRF15', 'OUT019', 'Tier 1', 306.268);
INSERT INTO locationTypeSales VALUES('FDL20', 'OUT018', 'Tier 3', 1779.0176);
INSERT INTO locationTypeSales VALUES('FDV32', 'OUT049', 'Tier 1', 759.012);
INSERT INTO locationTypeSales VALUES('FDJ34', 'OUT013', 'Tier 3', 1877.556);
INSERT INTO locationTypeSales VALUES('FDG08', 'OUT045', 'Tier 2', 3779.0808);
INSERT INTO locationTypeSales VALUES('FDQ04', 'OUT019', 'Tier 1', 41.2796);
INSERT INTO locationTypeSales VALUES('FDW13', 'OUT017', 'Tier 2', 259.662);
INSERT INTO locationTypeSales VALUES('NCI17', 'OUT013', 'Tier 3', 193.082);
INSERT INTO locationTypeSales VALUES('FDY03', 'OUT045', 'Tier 2', 1687.803);
INSERT INTO locationTypeSales VALUES('FDS12', 'OUT017', 'Tier 2', 4655.9394);
INSERT INTO locationTypeSales VALUES('FDJ55', 'OUT013', 'Tier 3', 4950.8888);
INSERT INTO locationTypeSales VALUES('DRK01', 'OUT035', 'Tier 2', 1418.154);
INSERT INTO locationTypeSales VALUES('FDG28', 'OUT017', 'Tier 2', 1225.072);
INSERT INTO locationTypeSales VALUES('FDY38', 'OUT045', 'Tier 2', 5359.69);
INSERT INTO locationTypeSales VALUES('FDN01', 'OUT045', 'Tier 2', 1764.37);
INSERT INTO locationTypeSales VALUES('NCR54', 'OUT013', 'Tier 3', 2553.343);
INSERT INTO locationTypeSales VALUES('FDG29', 'OUT013', 'Tier 3', 1006.6896);
INSERT INTO locationTypeSales VALUES('FDG24', 'OUT013', 'Tier 3', 1081.925);
INSERT INTO locationTypeSales VALUES('FDG59', 'OUT017', 'Tier 2', 308.9312);
INSERT INTO locationTypeSales VALUES('FDM28', 'OUT013', 'Tier 3', 2516.724);
INSERT INTO locationTypeSales VALUES('FDW04', 'OUT046', 'Tier 1', 1428.141);
INSERT INTO locationTypeSales VALUES('FDS26', 'OUT013', 'Tier 3', 2093.2752);
INSERT INTO locationTypeSales VALUES('FDQ56', 'OUT013', 'Tier 3', 1929.4884);
INSERT INTO locationTypeSales VALUES('FDK51', 'OUT035', 'Tier 2', 5829.7448);
INSERT INTO locationTypeSales VALUES('FDL22', 'OUT046', 'Tier 1', 2082.6224);
INSERT INTO locationTypeSales VALUES('FDH19', 'OUT027', 'Tier 3', 7298.4996);
INSERT INTO locationTypeSales VALUES('FDY55', 'OUT013', 'Tier 3', 7452.9652);
INSERT INTO locationTypeSales VALUES('FDY03', 'OUT017', 'Tier 2', 450.0808);
INSERT INTO locationTypeSales VALUES('FDK21', 'OUT010', 'Tier 3', 500.6816);
INSERT INTO locationTypeSales VALUES('FDZ10', 'OUT027', 'Tier 3', 3668.558);
INSERT INTO locationTypeSales VALUES('FDZ32', 'OUT018', 'Tier 3', 736.3748);
INSERT INTO locationTypeSales VALUES('NCZ18', 'OUT035', 'Tier 2', 6088.0752);
INSERT INTO locationTypeSales VALUES('NCF07', 'OUT027', 'Tier 3', 2125.2336);
INSERT INTO locationTypeSales VALUES('DRE49', 'OUT017', 'Tier 2', 2277.036);
INSERT INTO locationTypeSales VALUES('FDJ08', 'OUT019', 'Tier 1', 573.2538);
INSERT INTO locationTypeSales VALUES('FDT39', 'OUT035', 'Tier 2', 2267.049);
INSERT INTO locationTypeSales VALUES('FDE08', 'OUT010', 'Tier 3', 296.9468);
INSERT INTO locationTypeSales VALUES('NCD06', 'OUT018', 'Tier 3', 559.272);
INSERT INTO locationTypeSales VALUES('FDB57', 'OUT035', 'Tier 2', 5559.43);
INSERT INTO locationTypeSales VALUES('NCT54', 'OUT049', 'Tier 1', 1237.7222);
INSERT INTO locationTypeSales VALUES('DRF49', 'OUT045', 'Tier 2', 569.259);
INSERT INTO locationTypeSales VALUES('FDM25', 'OUT027', 'Tier 3', 3866.9664);
INSERT INTO locationTypeSales VALUES('FDF20', 'OUT045', 'Tier 2', 1379.5376);
INSERT INTO locationTypeSales VALUES('FDH27', 'OUT018', 'Tier 3', 1869.5664);
INSERT INTO locationTypeSales VALUES('FDV60', 'OUT027', 'Tier 3', 5499.508);
INSERT INTO locationTypeSales VALUES('FDY59', 'OUT049', 'Tier 1', 925.462);
INSERT INTO locationTypeSales VALUES('FDK36', 'OUT035', 'Tier 2', 583.2408);
INSERT INTO locationTypeSales VALUES('NCM31', 'OUT046', 'Tier 1', 1418.154);
INSERT INTO locationTypeSales VALUES('FDE33', 'OUT017', 'Tier 2', 942.7728);
INSERT INTO locationTypeSales VALUES('FDU36', 'OUT046', 'Tier 1', 2364.9216);
