INSERT INTO outletSizeSales VALUES('FDA15', 'OUT049', 'Medium', 3735.138);
INSERT INTO outletSizeSales VALUES('NCX54', 'OUT045', 'Medium', 2117.244);
INSERT INTO outletSizeSales VALUES('DRK35', 'OUT049', 'Medium', 796.9626);
INSERT INTO outletSizeSales VALUES('FDY21', 'OUT046', 'Small', 4910.275);
INSERT INTO outletSizeSales VALUES('FDI26', 'OUT019', 'Small', 892.172);
INSERT INTO outletSizeSales VALUES('FDM20', 'OUT018', 'Medium', 3185.1872);
INSERT INTO outletSizeSales VALUES('FDV27', 'OUT045', 'Medium', 1062.6168);
INSERT INTO outletSizeSales VALUES('FDF09', 'OUT027', 'Medium', 484.7024);
INSERT INTO outletSizeSales VALUES('FDY40', 'OUT019', 'Small', 147.8076);
INSERT INTO outletSizeSales VALUES('FDY45', 'OUT027', 'Medium', 2543.356);
INSERT INTO outletSizeSales VALUES('FDC46', 'OUT010', 'Medium', 184.4266);
INSERT INTO outletSizeSales VALUES('FDH19', 'OUT035', 'Small', 4865.6664);
INSERT INTO outletSizeSales VALUES('FDZ03', 'OUT045', 'Medium', 1118.544);
INSERT INTO outletSizeSales VALUES('DRH37', 'OUT045', 'Medium', 2302.3364);
INSERT INTO outletSizeSales VALUES('NCI17', 'OUT046', 'Small', 2027.361);
INSERT INTO outletSizeSales VALUES('FDJ58', 'OUT046', 'Small', 3435.528);
INSERT INTO outletSizeSales VALUES('FDL12', 'OUT013', 'High', 599.22);
INSERT INTO outletSizeSales VALUES('FDH35', 'OUT045', 'Medium', 4604.6728);
INSERT INTO outletSizeSales VALUES('FDG02', 'OUT017', 'Medium', 2285.0256);
INSERT INTO outletSizeSales VALUES('NCZ18', 'OUT049', 'Medium', 5580.7356);
INSERT INTO outletSizeSales VALUES('FDC29', 'OUT046', 'Small', 2290.352);
INSERT INTO outletSizeSales VALUES('FDQ10', 'OUT049', 'Medium', 1207.0954);
INSERT INTO outletSizeSales VALUES('FDN48', 'OUT019', 'Small', 643.1628);
INSERT INTO outletSizeSales VALUES('FDL04', 'OUT017', 'Medium', 1587.933);
INSERT INTO outletSizeSales VALUES('FDV25', 'OUT045', 'Medium', 5305.0944);
INSERT INTO outletSizeSales VALUES('FDD58', 'OUT046', 'Small', 1697.79);
INSERT INTO outletSizeSales VALUES('FDN04', 'OUT046', 'Small', 1427.4752);
INSERT INTO outletSizeSales VALUES('FDV45', 'OUT018', 'Medium', 4693.89);
INSERT INTO outletSizeSales VALUES('NCL18', 'OUT019', 'Small', 583.2408);
INSERT INTO outletSizeSales VALUES('FDR12', 'OUT027', 'Medium', 3091.9752);
INSERT INTO outletSizeSales VALUES('FDG20', 'OUT017', 'Medium', 2479.4392);
INSERT INTO outletSizeSales VALUES('FDZ55', 'OUT035', 'Small', 2716.464);
INSERT INTO outletSizeSales VALUES('FDQ49', 'OUT027', 'Medium', 3285.723);
INSERT INTO outletSizeSales VALUES('FDN33', 'OUT046', 'Small', 661.8052);
INSERT INTO outletSizeSales VALUES('FDN27', 'OUT049', 'Medium', 1523.3504);
INSERT INTO outletSizeSales VALUES('FDW20', 'OUT010', 'Medium', 369.519);
INSERT INTO outletSizeSales VALUES('DRG27', 'OUT049', 'Medium', 690.4346);
INSERT INTO outletSizeSales VALUES('DRI25', 'OUT045', 'Medium', 1381.535);
INSERT INTO outletSizeSales VALUES('FDA44', 'OUT035', 'Small', 622.523);
INSERT INTO outletSizeSales VALUES('NCR17', 'OUT035', 'Small', 1274.3412);
INSERT INTO outletSizeSales VALUES('FDU04', 'OUT019', 'Small', 487.3656);
INSERT INTO outletSizeSales VALUES('FDF41', 'OUT049', 'Medium', 1231.73);
INSERT INTO outletSizeSales VALUES('FDB56', 'OUT035', 'Small', 3755.112);
INSERT INTO outletSizeSales VALUES('NCP18', 'OUT027', 'Medium', 4363.6532);
INSERT INTO outletSizeSales VALUES('FDB56', 'OUT046', 'Small', 1314.2892);
INSERT INTO outletSizeSales VALUES('FDT28', 'OUT045', 'Medium', 1805.6496);
INSERT INTO outletSizeSales VALUES('FDD10', 'OUT027', 'Medium', 2854.9504);
INSERT INTO outletSizeSales VALUES('FDW57', 'OUT049', 'Medium', 3896.2616);
INSERT INTO outletSizeSales VALUES('DRB48', 'OUT013', 'High', 667.7974);
INSERT INTO outletSizeSales VALUES('FDP09', 'OUT018', 'Medium', 3185.853);
INSERT INTO outletSizeSales VALUES('FDH14', 'OUT013', 'High', 2247.7408);
INSERT INTO outletSizeSales VALUES('FDA47', 'OUT013', 'High', 1794.331);
INSERT INTO outletSizeSales VALUES('FDG12', 'OUT045', 'Medium', 2530.7058);
INSERT INTO outletSizeSales VALUES('DRE60', 'OUT019', 'Small', 679.116);
INSERT INTO outletSizeSales VALUES('DRK49', 'OUT013', 'High', 812.276);
INSERT INTO outletSizeSales VALUES('FDD03', 'OUT046', 'Small', 699.09);
INSERT INTO outletSizeSales VALUES('FDS52', 'OUT017', 'Medium', 2732.4432);
INSERT INTO outletSizeSales VALUES('FDW39', 'OUT019', 'Small', 176.437);
INSERT INTO outletSizeSales VALUES('FDX34', 'OUT027', 'Medium', 4097.3332);
INSERT INTO outletSizeSales VALUES('FDV11', 'OUT045', 'Medium', 3151.8972);
INSERT INTO outletSizeSales VALUES('FDD17', 'OUT049', 'Medium', 5942.265);
INSERT INTO outletSizeSales VALUES('FDZ16', 'OUT017', 'Medium', 4843.695);
INSERT INTO outletSizeSales VALUES('FDZ46', 'OUT035', 'Small', 2542.0244);
INSERT INTO outletSizeSales VALUES('DRA12', 'OUT017', 'Medium', 2552.6772);
INSERT INTO outletSizeSales VALUES('FDY58', 'OUT018', 'Medium', 1141.847);
INSERT INTO outletSizeSales VALUES('NCF19', 'OUT017', 'Medium', 680.4476);
INSERT INTO outletSizeSales VALUES('DRJ13', 'OUT045', 'Medium', 2085.9514);
INSERT INTO outletSizeSales VALUES('FDB14', 'OUT010', 'Medium', 186.424);
INSERT INTO outletSizeSales VALUES('FDJ38', 'OUT035', 'Small', 3036.048);
INSERT INTO outletSizeSales VALUES('FDW11', 'OUT017', 'Medium', 866.8716);
INSERT INTO outletSizeSales VALUES('FDL40', 'OUT035', 'Small', 868.869);
INSERT INTO outletSizeSales VALUES('DRI49', 'OUT046', 'Small', 1137.1864);
INSERT INTO outletSizeSales VALUES('FDV38', 'OUT017', 'Medium', 928.1252);
INSERT INTO outletSizeSales VALUES('DRG23', 'OUT013', 'High', 762.341);
INSERT INTO outletSizeSales VALUES('NCP30', 'OUT045', 'Medium', 707.0796);
INSERT INTO outletSizeSales VALUES('FDY25', 'OUT027', 'Medium', 7968.2944);
INSERT INTO outletSizeSales VALUES('NCH54', 'OUT046', 'Small', 1438.128);
INSERT INTO outletSizeSales VALUES('NCR53', 'OUT027', 'Medium', 6976.2524);
INSERT INTO outletSizeSales VALUES('FDS52', 'OUT010', 'Medium', 101.2016);
INSERT INTO outletSizeSales VALUES('FDG02', 'OUT018', 'Medium', 952.094);
INSERT INTO outletSizeSales VALUES('NCO26', 'OUT046', 'Small', 1969.4364);
INSERT INTO outletSizeSales VALUES('FDH35', 'OUT027', 'Medium', 5262.4832);
INSERT INTO outletSizeSales VALUES('FDB51', 'OUT045', 'Medium', 1314.2892);
INSERT INTO outletSizeSales VALUES('FDX44', 'OUT017', 'Medium', 535.3032);
INSERT INTO outletSizeSales VALUES('NCN07', 'OUT010', 'Medium', 263.6568);
INSERT INTO outletSizeSales VALUES('NCC31', 'OUT035', 'Small', 1402.1748);
INSERT INTO outletSizeSales VALUES('NCX54', 'OUT017', 'Medium', 1693.7952);
INSERT INTO outletSizeSales VALUES('NCO55', 'OUT045', 'Medium', 2143.876);
INSERT INTO outletSizeSales VALUES('NCC30', 'OUT049', 'Medium', 2676.516);
INSERT INTO outletSizeSales VALUES('FDI16', 'OUT035', 'Small', 905.488);
INSERT INTO outletSizeSales VALUES('FDP16', 'OUT049', 'Medium', 7370.406);
INSERT INTO outletSizeSales VALUES('FDB11', 'OUT035', 'Small', 6301.1312);
INSERT INTO outletSizeSales VALUES('NCB06', 'OUT035', 'Small', 1597.92);
INSERT INTO outletSizeSales VALUES('FDA45', 'OUT035', 'Small', 529.311);
INSERT INTO outletSizeSales VALUES('NCO26', 'OUT035', 'Small', 1969.4364);
INSERT INTO outletSizeSales VALUES('DRJ25', 'OUT017', 'Medium', 1034.6532);
INSERT INTO outletSizeSales VALUES('FDR28', 'OUT018', 'Medium', 1794.331);
INSERT INTO outletSizeSales VALUES('FDI04', 'OUT018', 'Medium', 2768.3964);
INSERT INTO outletSizeSales VALUES('DRK12', 'OUT027', 'Medium', 898.83);
INSERT INTO outletSizeSales VALUES('FDX20', 'OUT046', 'Small', 3169.208);
INSERT INTO outletSizeSales VALUES('NCI18', 'OUT018', 'Medium', 3589.9936);
INSERT INTO outletSizeSales VALUES('FDB36', 'OUT018', 'Medium', 262.3252);
INSERT INTO outletSizeSales VALUES('FDN13', 'OUT017', 'Medium', 1910.1802);
INSERT INTO outletSizeSales VALUES('DRD24', 'OUT017', 'Medium', 1701.7848);
INSERT INTO outletSizeSales VALUES('FDQ28', 'OUT013', 'High', 2471.4496);
INSERT INTO outletSizeSales VALUES('FDM22', 'OUT013', 'High', 1331.6);
INSERT INTO outletSizeSales VALUES('FDR07', 'OUT027', 'Medium', 1808.9786);
INSERT INTO outletSizeSales VALUES('FDV25', 'OUT018', 'Medium', 3315.684);
INSERT INTO outletSizeSales VALUES('DRF49', 'OUT046', 'Small', 2618.5914);
INSERT INTO outletSizeSales VALUES('FDW51', 'OUT046', 'Small', 2769.728);
INSERT INTO outletSizeSales VALUES('DRL01', 'OUT017', 'Medium', 5375.0034);
INSERT INTO outletSizeSales VALUES('FDP25', 'OUT017', 'Medium', 2838.9712);
INSERT INTO outletSizeSales VALUES('FDL50', 'OUT018', 'Medium', 1743.0644);
INSERT INTO outletSizeSales VALUES('NCB30', 'OUT027', 'Medium', 5555.4352);
INSERT INTO outletSizeSales VALUES('FDW11', 'OUT018', 'Medium', 619.194);
INSERT INTO outletSizeSales VALUES('NCM43', 'OUT035', 'Small', 2120.573);
INSERT INTO outletSizeSales VALUES('FDK44', 'OUT017', 'Medium', 3823.0236);
INSERT INTO outletSizeSales VALUES('FDM15', 'OUT013', 'High', 1360.2294);
INSERT INTO outletSizeSales VALUES('FDS31', 'OUT013', 'High', 3969.4996);
INSERT INTO outletSizeSales VALUES('FDI32', 'OUT010', 'Medium', 345.5502);
INSERT INTO outletSizeSales VALUES('FDR47', 'OUT010', 'Medium', 585.2382);
INSERT INTO outletSizeSales VALUES('FDB35', 'OUT045', 'Medium', 1010.6844);
INSERT INTO outletSizeSales VALUES('NCU05', 'OUT010', 'Medium', 161.1236);
INSERT INTO outletSizeSales VALUES('DRY23', 'OUT019', 'Small', 42.6112);
INSERT INTO outletSizeSales VALUES('FDO24', 'OUT045', 'Medium', 3010.7476);
INSERT INTO outletSizeSales VALUES('FDQ28', 'OUT027', 'Medium', 6024.1584);
INSERT INTO outletSizeSales VALUES('FDV39', 'OUT045', 'Medium', 988.713);
INSERT INTO outletSizeSales VALUES('NCO17', 'OUT019', 'Small', 239.688);
INSERT INTO outletSizeSales VALUES('FDU50', 'OUT013', 'High', 1374.2112);
INSERT INTO outletSizeSales VALUES('FDT12', 'OUT027', 'Medium', 4739.8302);
INSERT INTO outletSizeSales VALUES('FDK58', 'OUT018', 'Medium', 1012.016);
INSERT INTO outletSizeSales VALUES('FDO08', 'OUT019', 'Small', 657.8104);
INSERT INTO outletSizeSales VALUES('NCW29', 'OUT049', 'Medium', 778.986);
INSERT INTO outletSizeSales VALUES('FDE04', 'OUT045', 'Medium', 2336.958);
INSERT INTO outletSizeSales VALUES('NCB19', 'OUT049', 'Medium', 2233.0932);
INSERT INTO outletSizeSales VALUES('FDV15', 'OUT049', 'Medium', 1661.8368);
INSERT INTO outletSizeSales VALUES('FDL58', 'OUT049', 'Medium', 4745.8224);
INSERT INTO outletSizeSales VALUES('FDA08', 'OUT045', 'Medium', 3124.5994);
INSERT INTO outletSizeSales VALUES('FDT43', 'OUT018', 'Medium', 467.3916);
INSERT INTO outletSizeSales VALUES('NCX06', 'OUT027', 'Medium', 5070.7328);
INSERT INTO outletSizeSales VALUES('FDT20', 'OUT046', 'Small', 540.6296);
INSERT INTO outletSizeSales VALUES('FDB41', 'OUT046', 'Small', 992.7078);
INSERT INTO outletSizeSales VALUES('NCN55', 'OUT049', 'Medium', 6008.845);
INSERT INTO outletSizeSales VALUES('FDE40', 'OUT027', 'Medium', 2105.2596);
INSERT INTO outletSizeSales VALUES('FDX49', 'OUT027', 'Medium', 5359.69);
INSERT INTO outletSizeSales VALUES('NCM53', 'OUT045', 'Medium', 745.696);
INSERT INTO outletSizeSales VALUES('FDE36', 'OUT035', 'Small', 3275.736);
INSERT INTO outletSizeSales VALUES('FDN57', 'OUT045', 'Medium', 1701.7848);
INSERT INTO outletSizeSales VALUES('FDI24', 'OUT027', 'Medium', 6704.606);
INSERT INTO outletSizeSales VALUES('FDI19', 'OUT046', 'Small', 4119.9704);
INSERT INTO outletSizeSales VALUES('FDF24', 'OUT010', 'Medium', 327.5736);
INSERT INTO outletSizeSales VALUES('FDG52', 'OUT049', 'Medium', 780.9834);
INSERT INTO outletSizeSales VALUES('DRF36', 'OUT045', 'Medium', 3630.6074);
INSERT INTO outletSizeSales VALUES('FDS45', 'OUT019', 'Small', 317.5866);
INSERT INTO outletSizeSales VALUES('FDX40', 'OUT010', 'Medium', 231.6984);
INSERT INTO outletSizeSales VALUES('DRK12', 'OUT035', 'Small', 133.16);
INSERT INTO outletSizeSales VALUES('DRC27', 'OUT035', 'Small', 5650.6446);
INSERT INTO outletSizeSales VALUES('FDL58', 'OUT017', 'Medium', 2636.568);
INSERT INTO outletSizeSales VALUES('NCD30', 'OUT045', 'Medium', 1272.3438);
INSERT INTO outletSizeSales VALUES('NCZ54', 'OUT010', 'Medium', 324.9104);
INSERT INTO outletSizeSales VALUES('FDE10', 'OUT010', 'Medium', 131.1626);
INSERT INTO outletSizeSales VALUES('FDR44', 'OUT010', 'Medium', 260.9936);
INSERT INTO outletSizeSales VALUES('FDP28', 'OUT010', 'Medium', 260.9936);
INSERT INTO outletSizeSales VALUES('FDX15', 'OUT013', 'High', 3690.5294);
INSERT INTO outletSizeSales VALUES('FDA39', 'OUT035', 'Small', 1139.1838);
INSERT INTO outletSizeSales VALUES('FDY24', 'OUT049', 'Medium', 1995.4026);
INSERT INTO outletSizeSales VALUES('FDC60', 'OUT017', 'Medium', 1416.8224);
INSERT INTO outletSizeSales VALUES('FDH28', 'OUT046', 'Small', 265.6542);
INSERT INTO outletSizeSales VALUES('FDT25', 'OUT017', 'Medium', 3552.7088);
INSERT INTO outletSizeSales VALUES('DRJ13', 'OUT013', 'High', 2406.867);
INSERT INTO outletSizeSales VALUES('NCO07', 'OUT019', 'Small', 213.056);
INSERT INTO outletSizeSales VALUES('FDW20', 'OUT013', 'High', 2956.152);
INSERT INTO outletSizeSales VALUES('DRF27', 'OUT019', 'Small', 153.134);
INSERT INTO outletSizeSales VALUES('FDS49', 'OUT035', 'Small', 1649.8524);
INSERT INTO outletSizeSales VALUES('FDX25', 'OUT027', 'Medium', 3101.2964);
INSERT INTO outletSizeSales VALUES('NCX42', 'OUT027', 'Medium', 4769.1254);
INSERT INTO outletSizeSales VALUES('FDG33', 'OUT027', 'Medium', 3435.528);
INSERT INTO outletSizeSales VALUES('FDL56', 'OUT045', 'Medium', 1133.8574);
INSERT INTO outletSizeSales VALUES('FDF14', 'OUT035', 'Small', 2603.278);
INSERT INTO outletSizeSales VALUES('NCD06', 'OUT046', 'Small', 605.878);
INSERT INTO outletSizeSales VALUES('DRM47', 'OUT027', 'Medium', 2293.0152);
INSERT INTO outletSizeSales VALUES('FDS46', 'OUT019', 'Small', 119.1782);
INSERT INTO outletSizeSales VALUES('FDB35', 'OUT013', 'High', 1929.4884);
INSERT INTO outletSizeSales VALUES('FDX21', 'OUT027', 'Medium', 2074.6328);
INSERT INTO outletSizeSales VALUES('NCU05', 'OUT027', 'Medium', 241.6854);
INSERT INTO outletSizeSales VALUES('NCR38', 'OUT045', 'Medium', 6795.1548);
INSERT INTO outletSizeSales VALUES('NCR18', 'OUT017', 'Medium', 639.168);
INSERT INTO outletSizeSales VALUES('NCU41', 'OUT035', 'Small', 3248.4382);
INSERT INTO outletSizeSales VALUES('FDY56', 'OUT017', 'Medium', 7222.5984);
INSERT INTO outletSizeSales VALUES('DRJ51', 'OUT035', 'Small', 3225.1352);
INSERT INTO outletSizeSales VALUES('FDK21', 'OUT035', 'Small', 3755.112);
INSERT INTO outletSizeSales VALUES('FDY25', 'OUT013', 'High', 3440.8544);
INSERT INTO outletSizeSales VALUES('FDU44', 'OUT035', 'Small', 974.7312);
INSERT INTO outletSizeSales VALUES('FDL43', 'OUT049', 'Medium', 535.969);
INSERT INTO outletSizeSales VALUES('FDF05', 'OUT017', 'Medium', 5259.82);
INSERT INTO outletSizeSales VALUES('DRF15', 'OUT019', 'Small', 306.268);
INSERT INTO outletSizeSales VALUES('FDL20', 'OUT018', 'Medium', 1779.0176);
INSERT INTO outletSizeSales VALUES('FDV32', 'OUT049', 'Medium', 759.012);
INSERT INTO outletSizeSales VALUES('FDJ34', 'OUT013', 'High', 1877.556);
INSERT INTO outletSizeSales VALUES('FDG08', 'OUT045', 'Medium', 3779.0808);
INSERT INTO outletSizeSales VALUES('FDQ04', 'OUT019', 'Small', 41.2796);
INSERT INTO outletSizeSales VALUES('FDW13', 'OUT017', 'Medium', 259.662);
INSERT INTO outletSizeSales VALUES('NCI17', 'OUT013', 'High', 193.082);
INSERT INTO outletSizeSales VALUES('FDY03', 'OUT045', 'Medium', 1687.803);
INSERT INTO outletSizeSales VALUES('FDS12', 'OUT017', 'Medium', 4655.9394);
INSERT INTO outletSizeSales VALUES('FDJ55', 'OUT013', 'High', 4950.8888);
INSERT INTO outletSizeSales VALUES('DRK01', 'OUT035', 'Small', 1418.154);
INSERT INTO outletSizeSales VALUES('FDG28', 'OUT017', 'Medium', 1225.072);
INSERT INTO outletSizeSales VALUES('FDY38', 'OUT045', 'Medium', 5359.69);
INSERT INTO outletSizeSales VALUES('FDN01', 'OUT045', 'Medium', 1764.37);
INSERT INTO outletSizeSales VALUES('NCR54', 'OUT013', 'High', 2553.343);
INSERT INTO outletSizeSales VALUES('FDG29', 'OUT013', 'High', 1006.6896);
INSERT INTO outletSizeSales VALUES('FDG24', 'OUT013', 'High', 1081.925);
INSERT INTO outletSizeSales VALUES('FDG59', 'OUT017', 'Medium', 308.9312);
INSERT INTO outletSizeSales VALUES('FDM28', 'OUT013', 'High', 2516.724);
INSERT INTO outletSizeSales VALUES('FDW04', 'OUT046', 'Small', 1428.141);
INSERT INTO outletSizeSales VALUES('FDS26', 'OUT013', 'High', 2093.2752);
INSERT INTO outletSizeSales VALUES('FDQ56', 'OUT013', 'High', 1929.4884);
INSERT INTO outletSizeSales VALUES('FDK51', 'OUT035', 'Small', 5829.7448);
INSERT INTO outletSizeSales VALUES('FDL22', 'OUT046', 'Small', 2082.6224);
INSERT INTO outletSizeSales VALUES('FDH19', 'OUT027', 'Medium', 7298.4996);
INSERT INTO outletSizeSales VALUES('FDY55', 'OUT013', 'High', 7452.9652);
INSERT INTO outletSizeSales VALUES('FDY03', 'OUT017', 'Medium', 450.0808);
INSERT INTO outletSizeSales VALUES('FDK21', 'OUT010', 'Medium', 500.6816);
INSERT INTO outletSizeSales VALUES('FDZ10', 'OUT027', 'Medium', 3668.558);
INSERT INTO outletSizeSales VALUES('FDZ32', 'OUT018', 'Medium', 736.3748);
INSERT INTO outletSizeSales VALUES('NCZ18', 'OUT035', 'Small', 6088.0752);
INSERT INTO outletSizeSales VALUES('NCF07', 'OUT027', 'Medium', 2125.2336);
INSERT INTO outletSizeSales VALUES('DRE49', 'OUT017', 'Medium', 2277.036);
INSERT INTO outletSizeSales VALUES('FDJ08', 'OUT019', 'Small', 573.2538);
INSERT INTO outletSizeSales VALUES('FDT39', 'OUT035', 'Small', 2267.049);
INSERT INTO outletSizeSales VALUES('FDE08', 'OUT010', 'Medium', 296.9468);
INSERT INTO outletSizeSales VALUES('NCD06', 'OUT018', 'Medium', 559.272);
INSERT INTO outletSizeSales VALUES('FDB57', 'OUT035', 'Small', 5559.43);
INSERT INTO outletSizeSales VALUES('NCT54', 'OUT049', 'Medium', 1237.7222);
INSERT INTO outletSizeSales VALUES('DRF49', 'OUT045', 'Medium', 569.259);
INSERT INTO outletSizeSales VALUES('FDM25', 'OUT027', 'Medium', 3866.9664);
INSERT INTO outletSizeSales VALUES('FDF20', 'OUT045', 'Medium', 1379.5376);
INSERT INTO outletSizeSales VALUES('FDH27', 'OUT018', 'Medium', 1869.5664);
INSERT INTO outletSizeSales VALUES('FDV60', 'OUT027', 'Medium', 5499.508);
INSERT INTO outletSizeSales VALUES('FDY59', 'OUT049', 'Medium', 925.462);
INSERT INTO outletSizeSales VALUES('FDK36', 'OUT035', 'Small', 583.2408);
INSERT INTO outletSizeSales VALUES('NCM31', 'OUT046', 'Small', 1418.154);
INSERT INTO outletSizeSales VALUES('FDE33', 'OUT017', 'Medium', 942.7728);
INSERT INTO outletSizeSales VALUES('FDU36', 'OUT046', 'Small', 2364.9216);
INSERT INTO outletSizeSales VALUES('FDV13', 'OUT027', 'Medium', 3251.7672);
INSERT INTO outletSizeSales VALUES('FDV20', 'OUT019', 'Small', 254.3356);
INSERT INTO outletSizeSales VALUES('NCQ54', 'OUT035', 'Small', 5895.659);
INSERT INTO outletSizeSales VALUES('FDO23', 'OUT018', 'Medium', 1134.5232);
INSERT INTO outletSizeSales VALUES('DRE60', 'OUT045', 'Medium', 7696.648);
INSERT INTO outletSizeSales VALUES('DRP47', 'OUT017', 'Medium', 2775.7202);
INSERT INTO outletSizeSales VALUES('FDB21', 'OUT045', 'Medium', 5317.0788);
INSERT INTO outletSizeSales VALUES('FDR04', 'OUT018', 'Medium', 874.8612);
INSERT INTO outletSizeSales VALUES('FDX23', 'OUT046', 'Small', 1039.9796);
INSERT INTO outletSizeSales VALUES('FDX19', 'OUT035', 'Small', 3038.0454);
INSERT INTO outletSizeSales VALUES('FDD40', 'OUT035', 'Small', 3848.324);
INSERT INTO outletSizeSales VALUES('FDA01', 'OUT046', 'Small', 527.3136);
INSERT INTO outletSizeSales VALUES('FDS33', 'OUT046', 'Small', 2390.8878);
INSERT INTO outletSizeSales VALUES('FDM50', 'OUT027', 'Medium', 1677.816);
INSERT INTO outletSizeSales VALUES('FDB29', 'OUT013', 'High', 801.6232);
INSERT INTO outletSizeSales VALUES('FDF46', 'OUT045', 'Medium', 1267.0174);
INSERT INTO outletSizeSales VALUES('FDA33', 'OUT045', 'Medium', 886.8456);
INSERT INTO outletSizeSales VALUES('FDC08', 'OUT010', 'Medium', 452.744);
