INSERT INTO typeMrpSales VALUES('FDA15', 'OUT049', 'Dairy', 249.8092);
INSERT INTO typeMrpSales VALUES('FDZ03', 'OUT045', 'Dairy', 186.024);
INSERT INTO typeMrpSales VALUES('DRH37', 'OUT045', 'Soft Drinks', 164.8526);
INSERT INTO typeMrpSales VALUES('NCI17', 'OUT046', 'Health and Hygiene', 95.841);
INSERT INTO typeMrpSales VALUES('FDJ58', 'OUT046', 'Snack Foods', 170.1764);
INSERT INTO typeMrpSales VALUES('FDL12', 'OUT013', 'Baking Goods', 59.222);
INSERT INTO typeMrpSales VALUES('FDH35', 'OUT045', 'Starchy Foods', 164.7526);
INSERT INTO typeMrpSales VALUES('FDG02', 'OUT017', 'Canned', 189.6188);
INSERT INTO typeMrpSales VALUES('NCZ18', 'OUT049', 'Household', 254.3698);
INSERT INTO typeMrpSales VALUES('FDC29', 'OUT046', 'Frozen Foods', 114.0176);
INSERT INTO typeMrpSales VALUES('FDQ10', 'OUT049', 'Snack Foods', 172.3422);
INSERT INTO typeMrpSales VALUES('FDN48', 'OUT019', 'Baking Goods', 89.9804);
INSERT INTO typeMrpSales VALUES('FDL04', 'OUT017', 'Frozen Foods', 104.9622);
INSERT INTO typeMrpSales VALUES('FDV25', 'OUT045', 'Canned', 222.5456);
INSERT INTO typeMrpSales VALUES('FDD58', 'OUT046', 'Snack Foods', 101.87);
INSERT INTO typeMrpSales VALUES('FDN04', 'OUT046', 'Frozen Foods', 180.3344);
INSERT INTO typeMrpSales VALUES('FDV45', 'OUT018', 'Snack Foods', 187.9556);
INSERT INTO typeMrpSales VALUES('NCL18', 'OUT019', 'Household', 194.6136);
INSERT INTO typeMrpSales VALUES('FDR12', 'OUT027', 'Baking Goods', 171.3764);
INSERT INTO typeMrpSales VALUES('FDG20', 'OUT017', 'Fruits and Vegetables', 177.0028);
INSERT INTO typeMrpSales VALUES('FDZ55', 'OUT035', 'Fruits and Vegetables', 160.992);
INSERT INTO typeMrpSales VALUES('FDQ49', 'OUT027', 'Breakfast', 155.963);
INSERT INTO typeMrpSales VALUES('FDN33', 'OUT046', 'Snack Foods', 95.6436);
INSERT INTO typeMrpSales VALUES('FDN27', 'OUT049', 'Meat', 117.2808);
INSERT INTO typeMrpSales VALUES('FDW20', 'OUT010', 'Fruits and Vegetables', 122.173);
INSERT INTO typeMrpSales VALUES('DRG27', 'OUT049', 'Dairy', 39.9138);
INSERT INTO typeMrpSales VALUES('DRI25', 'OUT045', 'Soft Drinks', 55.1614);
INSERT INTO typeMrpSales VALUES('FDA44', 'OUT035', 'Fruits and Vegetables', 57.893);
INSERT INTO typeMrpSales VALUES('NCR17', 'OUT035', 'Health and Hygiene', 114.5492);
INSERT INTO typeMrpSales VALUES('FDU04', 'OUT019', 'Frozen Foods', 120.0414);
INSERT INTO typeMrpSales VALUES('FDF41', 'OUT049', 'Frozen Foods', 246.046);
INSERT INTO typeMrpSales VALUES('FDB56', 'OUT035', 'Fruits and Vegetables', 187.4556);
INSERT INTO typeMrpSales VALUES('NCP18', 'OUT027', 'Household', 149.9708);
INSERT INTO typeMrpSales VALUES('FDB56', 'OUT046', 'Fruits and Vegetables', 187.8556);
INSERT INTO typeMrpSales VALUES('FDT28', 'OUT045', 'Frozen Foods', 151.0708);
INSERT INTO typeMrpSales VALUES('FDD10', 'OUT027', 'Snack Foods', 178.5344);
INSERT INTO typeMrpSales VALUES('FDW57', 'OUT049', 'Snack Foods', 179.1028);
INSERT INTO typeMrpSales VALUES('DRB48', 'OUT013', 'Soft Drinks', 38.7822);
INSERT INTO typeMrpSales VALUES('FDP09', 'OUT018', 'Snack Foods', 212.0902);
INSERT INTO typeMrpSales VALUES('FDH14', 'OUT013', 'Canned', 141.1838);
INSERT INTO typeMrpSales VALUES('FDA47', 'OUT013', 'Baking Goods', 163.121);
INSERT INTO typeMrpSales VALUES('FDG12', 'OUT045', 'Baking Goods', 121.3098);
INSERT INTO typeMrpSales VALUES('DRE60', 'OUT019', 'Soft Drinks', 225.372);
INSERT INTO typeMrpSales VALUES('DRK49', 'OUT013', 'Soft Drinks', 41.4138);
INSERT INTO typeMrpSales VALUES('FDD03', 'OUT046', 'Dairy', 232.53);
INSERT INTO typeMrpSales VALUES('FDS52', 'OUT017', 'Frozen Foods', 102.4016);
INSERT INTO typeMrpSales VALUES('FDW39', 'OUT019', 'Meat', 176.937);
INSERT INTO typeMrpSales VALUES('FDX34', 'OUT027', 'Snack Foods', 121.7098);
INSERT INTO typeMrpSales VALUES('FDV11', 'OUT045', 'Breads', 173.2054);
INSERT INTO typeMrpSales VALUES('FDD17', 'OUT049', 'Frozen Foods', 239.0906);
INSERT INTO typeMrpSales VALUES('FDZ16', 'OUT017', 'Frozen Foods', 192.4478);
INSERT INTO typeMrpSales VALUES('FDZ46', 'OUT035', 'Snack Foods', 109.0228);
INSERT INTO typeMrpSales VALUES('DRA12', 'OUT017', 'Soft Drinks', 140.3154);
INSERT INTO typeMrpSales VALUES('FDY58', 'OUT018', 'Snack Foods', 227.0694);
INSERT INTO typeMrpSales VALUES('NCF19', 'OUT017', 'Household', 47.5034);
INSERT INTO typeMrpSales VALUES('DRJ13', 'OUT045', 'Soft Drinks', 159.0578);
INSERT INTO typeMrpSales VALUES('FDB14', 'OUT010', 'Canned', 92.512);
INSERT INTO typeMrpSales VALUES('FDJ38', 'OUT035', 'Canned', 190.153);
INSERT INTO typeMrpSales VALUES('FDW11', 'OUT017', 'Breads', 62.7194);
INSERT INTO typeMrpSales VALUES('FDL40', 'OUT035', 'Frozen Foods', 95.041);
INSERT INTO typeMrpSales VALUES('DRI49', 'OUT046', 'Soft Drinks', 82.4276);
INSERT INTO typeMrpSales VALUES('FDV38', 'OUT017', 'Dairy', 52.7956);
INSERT INTO typeMrpSales VALUES('DRG23', 'OUT013', 'Hard Drinks', 151.7682);
INSERT INTO typeMrpSales VALUES('NCP30', 'OUT045', 'Household', 40.2822);
INSERT INTO typeMrpSales VALUES('FDY25', 'OUT027', 'Canned', 180.5976);
INSERT INTO typeMrpSales VALUES('NCH54', 'OUT046', 'Household', 160.292);
INSERT INTO typeMrpSales VALUES('NCR53', 'OUT027', 'Health and Hygiene', 224.4404);
INSERT INTO typeMrpSales VALUES('FDS52', 'OUT010', 'Frozen Foods', 101.7016);
INSERT INTO typeMrpSales VALUES('FDG02', 'OUT018', 'Canned', 188.5188);
INSERT INTO typeMrpSales VALUES('NCO26', 'OUT046', 'Household', 116.0492);
INSERT INTO typeMrpSales VALUES('FDH35', 'OUT027', 'Starchy Foods', 165.4526);
INSERT INTO typeMrpSales VALUES('FDB51', 'OUT045', 'Dairy', 60.5852);
INSERT INTO typeMrpSales VALUES('FDX44', 'OUT017', 'Fruits and Vegetables', 90.8172);
INSERT INTO typeMrpSales VALUES('NCN07', 'OUT010', 'Others', 132.1284);
INSERT INTO typeMrpSales VALUES('NCC31', 'OUT035', 'Household', 154.5972);
INSERT INTO typeMrpSales VALUES('NCX54', 'OUT017', 'Household', 105.1622);
INSERT INTO typeMrpSales VALUES('NCO55', 'OUT045', 'Others', 105.5938);
INSERT INTO typeMrpSales VALUES('NCC30', 'OUT049', 'Household', 177.6344);
INSERT INTO typeMrpSales VALUES('FDI16', 'OUT035', 'Frozen Foods', 53.064);
INSERT INTO typeMrpSales VALUES('FDP16', 'OUT049', 'Frozen Foods', 246.3802);
INSERT INTO typeMrpSales VALUES('FDB11', 'OUT035', 'Starchy Foods', 226.8404);
INSERT INTO typeMrpSales VALUES('NCB06', 'OUT035', 'Health and Hygiene', 160.692);
INSERT INTO typeMrpSales VALUES('FDA45', 'OUT035', 'Snack Foods', 178.237);
INSERT INTO typeMrpSales VALUES('NCO26', 'OUT035', 'Household', 117.5492);
INSERT INTO typeMrpSales VALUES('DRJ25', 'OUT017', 'Soft Drinks', 50.3692);
INSERT INTO typeMrpSales VALUES('FDR28', 'OUT018', 'Frozen Foods', 161.521);
INSERT INTO typeMrpSales VALUES('FDI04', 'OUT018', 'Frozen Foods', 197.6426);
INSERT INTO typeMrpSales VALUES('DRK12', 'OUT027', 'Soft Drinks', 31.29);
INSERT INTO typeMrpSales VALUES('FDX20', 'OUT046', 'Fruits and Vegetables', 226.172);
INSERT INTO typeMrpSales VALUES('NCI18', 'OUT018', 'Household', 223.5746);
INSERT INTO typeMrpSales VALUES('FDB36', 'OUT018', 'Baking Goods', 132.5626);
INSERT INTO typeMrpSales VALUES('FDN13', 'OUT017', 'Breakfast', 99.8358);
INSERT INTO typeMrpSales VALUES('DRD24', 'OUT017', 'Soft Drinks', 140.9154);
INSERT INTO typeMrpSales VALUES('FDQ28', 'OUT013', 'Frozen Foods', 154.5656);
INSERT INTO typeMrpSales VALUES('FDM22', 'OUT013', 'Snack Foods', 54.764);
INSERT INTO typeMrpSales VALUES('FDR07', 'OUT027', 'Fruits and Vegetables', 97.0094);
INSERT INTO typeMrpSales VALUES('FDV25', 'OUT018', 'Canned', 222.5456);
INSERT INTO typeMrpSales VALUES('DRF49', 'OUT046', 'Soft Drinks', 114.2518);
INSERT INTO typeMrpSales VALUES('FDW51', 'OUT046', 'Meat', 214.556);
INSERT INTO typeMrpSales VALUES('DRL01', 'OUT017', 'Soft Drinks', 233.4958);
INSERT INTO typeMrpSales VALUES('FDP25', 'OUT017', 'Canned', 216.8824);
INSERT INTO typeMrpSales VALUES('FDL50', 'OUT018', 'Canned', 125.0046);
INSERT INTO typeMrpSales VALUES('NCB30', 'OUT027', 'Household', 198.8084);
INSERT INTO typeMrpSales VALUES('FDW11', 'OUT018', 'Breads', 61.9194);
INSERT INTO typeMrpSales VALUES('NCM43', 'OUT035', 'Others', 164.821);
INSERT INTO typeMrpSales VALUES('FDK44', 'OUT017', 'Fruits and Vegetables', 173.0738);
INSERT INTO typeMrpSales VALUES('FDM15', 'OUT013', 'Meat', 151.4366);
INSERT INTO typeMrpSales VALUES('FDS31', 'OUT013', 'Fruits and Vegetables', 178.8318);
INSERT INTO typeMrpSales VALUES('FDI32', 'OUT010', 'Fruits and Vegetables', 115.1834);
INSERT INTO typeMrpSales VALUES('FDR47', 'OUT010', 'Breads', 196.5794);
INSERT INTO typeMrpSales VALUES('FDB35', 'OUT045', 'Starchy Foods', 92.6804);
INSERT INTO typeMrpSales VALUES('NCU05', 'OUT010', 'Health and Hygiene', 81.4618);
INSERT INTO typeMrpSales VALUES('DRY23', 'OUT019', 'Soft Drinks', 42.1112);
INSERT INTO typeMrpSales VALUES('FDO24', 'OUT045', 'Baking Goods', 157.4604);
INSERT INTO typeMrpSales VALUES('FDQ28', 'OUT027', 'Frozen Foods', 153.0656);
INSERT INTO typeMrpSales VALUES('FDV39', 'OUT045', 'Meat', 198.1426);
INSERT INTO typeMrpSales VALUES('NCO17', 'OUT019', 'Health and Hygiene', 117.944);
INSERT INTO typeMrpSales VALUES('FDU50', 'OUT013', 'Dairy', 112.8176);
INSERT INTO typeMrpSales VALUES('FDT12', 'OUT027', 'Baking Goods', 226.8062);
INSERT INTO typeMrpSales VALUES('FDK58', 'OUT018', 'Snack Foods', 100.0016);
INSERT INTO typeMrpSales VALUES('FDO08', 'OUT019', 'Fruits and Vegetables', 165.7526);
INSERT INTO typeMrpSales VALUES('NCW29', 'OUT049', 'Health and Hygiene', 130.431);
INSERT INTO typeMrpSales VALUES('FDE04', 'OUT045', 'Frozen Foods', 179.766);
INSERT INTO typeMrpSales VALUES('NCB19', 'OUT049', 'Household', 85.0882);
INSERT INTO typeMrpSales VALUES('FDV15', 'OUT049', 'Meat', 103.9648);
INSERT INTO typeMrpSales VALUES('FDL58', 'OUT049', 'Snack Foods', 264.7568);
INSERT INTO typeMrpSales VALUES('FDA08', 'OUT045', 'Fruits and Vegetables', 164.1526);
INSERT INTO typeMrpSales VALUES('FDT43', 'OUT018', 'Fruits and Vegetables', 50.1324);
INSERT INTO typeMrpSales VALUES('NCX06', 'OUT027', 'Household', 182.5976);
INSERT INTO typeMrpSales VALUES('FDT20', 'OUT046', 'Fruits and Vegetables', 37.6164);
INSERT INTO typeMrpSales VALUES('FDB41', 'OUT046', 'Frozen Foods', 48.0718);
INSERT INTO typeMrpSales VALUES('NCN55', 'OUT049', 'Others', 238.8538);
INSERT INTO typeMrpSales VALUES('FDE40', 'OUT027', 'Dairy', 62.9194);
INSERT INTO typeMrpSales VALUES('FDX49', 'OUT027', 'Canned', 232.63);
INSERT INTO typeMrpSales VALUES('NCM53', 'OUT045', 'Health and Hygiene', 104.628);
INSERT INTO typeMrpSales VALUES('FDE36', 'OUT035', 'Baking Goods', 161.8868);
INSERT INTO typeMrpSales VALUES('FDN57', 'OUT045', 'Snack Foods', 140.2154);
INSERT INTO typeMrpSales VALUES('FDI24', 'OUT027', 'Baking Goods', 177.937);
INSERT INTO typeMrpSales VALUES('FDI19', 'OUT046', 'Meat', 242.7512);
INSERT INTO typeMrpSales VALUES('FDF24', 'OUT010', 'Baking Goods', 81.5934);
INSERT INTO typeMrpSales VALUES('FDG52', 'OUT049', 'Frozen Foods', 45.7402);
INSERT INTO typeMrpSales VALUES('DRF36', 'OUT045', 'Soft Drinks', 189.3846);
INSERT INTO typeMrpSales VALUES('FDS45', 'OUT019', 'Snack Foods', 107.3622);
INSERT INTO typeMrpSales VALUES('FDX40', 'OUT010', 'Frozen Foods', 39.7164);
INSERT INTO typeMrpSales VALUES('DRK12', 'OUT035', 'Soft Drinks', 32.99);
INSERT INTO typeMrpSales VALUES('DRC27', 'OUT035', 'Dairy', 245.1802);
INSERT INTO typeMrpSales VALUES('FDL58', 'OUT017', 'Snack Foods', 263.7568);
INSERT INTO typeMrpSales VALUES('NCD30', 'OUT045', 'Household', 96.0726);
INSERT INTO typeMrpSales VALUES('NCZ54', 'OUT010', 'Household', 161.5552);
INSERT INTO typeMrpSales VALUES('FDE10', 'OUT010', 'Snack Foods', 130.0626);
INSERT INTO typeMrpSales VALUES('FDR44', 'OUT010', 'Fruits and Vegetables', 131.2968);
INSERT INTO typeMrpSales VALUES('FDP28', 'OUT010', 'Frozen Foods', 260.0936);
INSERT INTO typeMrpSales VALUES('FDX15', 'OUT013', 'Meat', 160.6578);
INSERT INTO typeMrpSales VALUES('FDA39', 'OUT035', 'Meat', 40.2822);
INSERT INTO typeMrpSales VALUES('FDY24', 'OUT049', 'Baking Goods', 52.9298);
INSERT INTO typeMrpSales VALUES('FDC60', 'OUT017', 'Baking Goods', 88.3514);
INSERT INTO typeMrpSales VALUES('FDH28', 'OUT046', 'Frozen Foods', 37.2506);
INSERT INTO typeMrpSales VALUES('FDT25', 'OUT017', 'Canned', 121.7072);
INSERT INTO typeMrpSales VALUES('DRJ13', 'OUT013', 'Soft Drinks', 161.5578);
INSERT INTO typeMrpSales VALUES('NCO07', 'OUT019', 'Others', 211.956);
INSERT INTO typeMrpSales VALUES('FDW20', 'OUT013', 'Fruits and Vegetables', 124.173);
INSERT INTO typeMrpSales VALUES('DRF27', 'OUT019', 'Dairy', 152.134);
INSERT INTO typeMrpSales VALUES('FDS49', 'OUT035', 'Canned', 79.7644);
INSERT INTO typeMrpSales VALUES('FDX25', 'OUT027', 'Canned', 181.9292);
INSERT INTO typeMrpSales VALUES('NCX42', 'OUT027', 'Household', 165.6526);
INSERT INTO typeMrpSales VALUES('FDG33', 'OUT027', 'Seafood', 170.4764);
INSERT INTO typeMrpSales VALUES('FDL56', 'OUT045', 'Fruits and Vegetables', 86.4198);
INSERT INTO typeMrpSales VALUES('FDF14', 'OUT035', 'Canned', 152.334);
INSERT INTO typeMrpSales VALUES('NCD06', 'OUT046', 'Household', 45.406);
INSERT INTO typeMrpSales VALUES('DRM47', 'OUT027', 'Hard Drinks', 192.8846);
INSERT INTO typeMrpSales VALUES('FDS46', 'OUT019', 'Snack Foods', 118.7782);
INSERT INTO typeMrpSales VALUES('FDB35', 'OUT013', 'Starchy Foods', 92.9804);
INSERT INTO typeMrpSales VALUES('FDX21', 'OUT027', 'Snack Foods', 109.8912);
INSERT INTO typeMrpSales VALUES('NCU05', 'OUT027', 'Health and Hygiene', 79.9618);
INSERT INTO typeMrpSales VALUES('NCR38', 'OUT045', 'Household', 251.3724);
INSERT INTO typeMrpSales VALUES('NCR18', 'OUT017', 'Household', 42.7112);
INSERT INTO typeMrpSales VALUES('NCU41', 'OUT035', 'Health and Hygiene', 192.1846);
INSERT INTO typeMrpSales VALUES('FDY56', 'OUT017', 'Fruits and Vegetables', 227.6062);
INSERT INTO typeMrpSales VALUES('DRJ51', 'OUT035', 'Dairy', 229.0668);
INSERT INTO typeMrpSales VALUES('FDK21', 'OUT035', 'Snack Foods', 249.0408);
INSERT INTO typeMrpSales VALUES('FDY25', 'OUT013', 'Canned', 179.3976);
INSERT INTO typeMrpSales VALUES('FDU44', 'OUT035', 'Fruits and Vegetables', 163.4552);
INSERT INTO typeMrpSales VALUES('FDL43', 'OUT049', 'Meat', 75.367);
INSERT INTO typeMrpSales VALUES('FDF05', 'OUT017', 'Frozen Foods', 262.491);
INSERT INTO typeMrpSales VALUES('DRF15', 'OUT019', 'Dairy', 152.034);
INSERT INTO typeMrpSales VALUES('FDL20', 'OUT018', 'Fruits and Vegetables', 112.3886);
INSERT INTO typeMrpSales VALUES('FDV32', 'OUT049', 'Fruits and Vegetables', 61.451);
INSERT INTO typeMrpSales VALUES('FDJ34', 'OUT013', 'Snack Foods', 125.9704);
INSERT INTO typeMrpSales VALUES('FDG08', 'OUT045', 'Fruits and Vegetables', 171.8764);
INSERT INTO typeMrpSales VALUES('FDQ04', 'OUT019', 'Frozen Foods', 41.5796);
INSERT INTO typeMrpSales VALUES('FDW13', 'OUT017', 'Canned', 51.1324);
INSERT INTO typeMrpSales VALUES('NCI17', 'OUT013', 'Health and Hygiene', 96.341);
INSERT INTO typeMrpSales VALUES('FDY03', 'OUT045', 'Meat', 110.9202);
INSERT INTO typeMrpSales VALUES('FDS12', 'OUT017', 'Baking Goods', 127.5362);
INSERT INTO typeMrpSales VALUES('FDJ55', 'OUT013', 'Meat', 225.9404);
INSERT INTO typeMrpSales VALUES('DRK01', 'OUT035', 'Soft Drinks', 95.4436);
INSERT INTO typeMrpSales VALUES('FDG28', 'OUT017', 'Frozen Foods', 246.4144);
INSERT INTO typeMrpSales VALUES('FDY38', 'OUT045', 'Dairy', 231.03);
INSERT INTO typeMrpSales VALUES('FDN01', 'OUT045', 'Breakfast', 176.237);
INSERT INTO typeMrpSales VALUES('NCR54', 'OUT013', 'Household', 195.211);
INSERT INTO typeMrpSales VALUES('FDG29', 'OUT013', 'Frozen Foods', 43.3454);
INSERT INTO typeMrpSales VALUES('FDG24', 'OUT013', 'Baking Goods', 85.225);
INSERT INTO typeMrpSales VALUES('FDG59', 'OUT017', 'Starchy Foods', 36.7164);
INSERT INTO typeMrpSales VALUES('FDM28', 'OUT013', 'Frozen Foods', 178.666);
INSERT INTO typeMrpSales VALUES('FDW04', 'OUT046', 'Frozen Foods', 128.831);
INSERT INTO typeMrpSales VALUES('FDS26', 'OUT013', 'Dairy', 260.1594);
INSERT INTO typeMrpSales VALUES('FDQ56', 'OUT013', 'Fruits and Vegetables', 85.6908);
INSERT INTO typeMrpSales VALUES('FDK51', 'OUT035', 'Dairy', 264.0884);
INSERT INTO typeMrpSales VALUES('FDL22', 'OUT046', 'Snack Foods', 91.4488);
INSERT INTO typeMrpSales VALUES('FDH19', 'OUT027', 'Meat', 173.1738);
INSERT INTO typeMrpSales VALUES('FDY55', 'OUT013', 'Fruits and Vegetables', 256.4988);
INSERT INTO typeMrpSales VALUES('FDY03', 'OUT017', 'Meat', 110.5202);
INSERT INTO typeMrpSales VALUES('FDK21', 'OUT010', 'Snack Foods', 250.4408);
INSERT INTO typeMrpSales VALUES('FDZ10', 'OUT027', 'Snack Foods', 126.202);
INSERT INTO typeMrpSales VALUES('FDZ32', 'OUT018', 'Fruits and Vegetables', 103.1964);
INSERT INTO typeMrpSales VALUES('NCZ18', 'OUT035', 'Household', 253.0698);
INSERT INTO typeMrpSales VALUES('NCF07', 'OUT027', 'Household', 101.0016);
INSERT INTO typeMrpSales VALUES('DRE49', 'OUT017', 'Soft Drinks', 153.0024);
INSERT INTO typeMrpSales VALUES('FDJ08', 'OUT019', 'Fruits and Vegetables', 190.3846);
INSERT INTO typeMrpSales VALUES('FDT39', 'OUT035', 'Meat', 151.1366);
INSERT INTO typeMrpSales VALUES('FDE08', 'OUT010', 'Fruits and Vegetables', 147.3734);
INSERT INTO typeMrpSales VALUES('NCD06', 'OUT018', 'Household', 46.306);
INSERT INTO typeMrpSales VALUES('FDB57', 'OUT035', 'Fruits and Vegetables', 222.1772);
INSERT INTO typeMrpSales VALUES('NCT54', 'OUT049', 'Household', 95.5094);
INSERT INTO typeMrpSales VALUES('DRF49', 'OUT045', 'Soft Drinks', 113.5518);
INSERT INTO typeMrpSales VALUES('FDM25', 'OUT027', 'Breakfast', 174.0712);
INSERT INTO typeMrpSales VALUES('FDF20', 'OUT045', 'Fruits and Vegetables', 198.4768);
INSERT INTO typeMrpSales VALUES('FDH27', 'OUT018', 'Dairy', 142.7128);
INSERT INTO typeMrpSales VALUES('FDV60', 'OUT027', 'Baking Goods', 196.211);
INSERT INTO typeMrpSales VALUES('FDY59', 'OUT049', 'Baking Goods', 94.3462);
INSERT INTO typeMrpSales VALUES('FDK36', 'OUT035', 'Baking Goods', 47.9034);
INSERT INTO typeMrpSales VALUES('NCM31', 'OUT046', 'Others', 141.4154);
INSERT INTO typeMrpSales VALUES('FDE33', 'OUT017', 'Fruits and Vegetables', 80.2644);
