INSERT INTO fatSales VALUES('FDA15', 'OUT049', 'Low Fat', 3735.138);
INSERT INTO fatSales VALUES('FDV27', 'OUT045', 'Regular', 1062.6168);
INSERT INTO fatSales VALUES('FDF09', 'OUT027', 'Low Fat', 484.7024);
INSERT INTO fatSales VALUES('FDY40', 'OUT019', 'Regular', 147.8076);
INSERT INTO fatSales VALUES('FDY45', 'OUT027', 'Low Fat', 2543.356);
INSERT INTO fatSales VALUES('FDC46', 'OUT010', 'Low Fat', 184.4266);
INSERT INTO fatSales VALUES('FDH19', 'OUT035', 'Low Fat', 4865.6664);
INSERT INTO fatSales VALUES('FDZ03', 'OUT045', 'Regular', 1118.544);
INSERT INTO fatSales VALUES('DRH37', 'OUT045', 'Low Fat', 2302.3364);
INSERT INTO fatSales VALUES('NCI17', 'OUT046', 'Low Fat', 2027.361);
INSERT INTO fatSales VALUES('FDJ58', 'OUT046', 'Regular', 3435.528);
INSERT INTO fatSales VALUES('FDL12', 'OUT013', 'Regular', 599.22);
INSERT INTO fatSales VALUES('FDH35', 'OUT045', 'Low Fat', 4604.6728);
INSERT INTO fatSales VALUES('FDG02', 'OUT017', 'Low Fat', 2285.0256);
INSERT INTO fatSales VALUES('NCZ18', 'OUT049', 'Low Fat', 5580.7356);
INSERT INTO fatSales VALUES('FDC29', 'OUT046', 'Regular', 2290.352);
INSERT INTO fatSales VALUES('FDQ10', 'OUT049', 'Low Fat', 1207.0954);
INSERT INTO fatSales VALUES('FDN48', 'OUT019', 'Low Fat', 643.1628);
INSERT INTO fatSales VALUES('FDL04', 'OUT017', 'Low Fat', 1587.933);
INSERT INTO fatSales VALUES('FDV25', 'OUT045', 'Low Fat', 5305.0944);
INSERT INTO fatSales VALUES('FDD58', 'OUT046', 'Low Fat', 1697.79);
INSERT INTO fatSales VALUES('FDN04', 'OUT046', 'Regular', 1427.4752);
INSERT INTO fatSales VALUES('FDV45', 'OUT018', 'Low Fat', 4693.89);
INSERT INTO fatSales VALUES('NCL18', 'OUT019', 'Low Fat', 583.2408);
INSERT INTO fatSales VALUES('FDR12', 'OUT027', 'Regular', 3091.9752);
INSERT INTO fatSales VALUES('FDG20', 'OUT017', 'Regular', 2479.4392);
INSERT INTO fatSales VALUES('FDZ55', 'OUT035', 'Low Fat', 2716.464);
INSERT INTO fatSales VALUES('FDQ49', 'OUT027', 'Regular', 3285.723);
INSERT INTO fatSales VALUES('FDN33', 'OUT046', 'Regular', 661.8052);
INSERT INTO fatSales VALUES('FDN27', 'OUT049', 'Low Fat', 1523.3504);
INSERT INTO fatSales VALUES('FDW20', 'OUT010', 'Low Fat', 369.519);
INSERT INTO fatSales VALUES('DRG27', 'OUT049', 'Low Fat', 690.4346);
INSERT INTO fatSales VALUES('DRI25', 'OUT045', 'Low Fat', 1381.535);
INSERT INTO fatSales VALUES('FDA44', 'OUT035', 'Low Fat', 622.523);
INSERT INTO fatSales VALUES('NCR17', 'OUT035', 'Low Fat', 1274.3412);
INSERT INTO fatSales VALUES('FDU04', 'OUT019', 'Low Fat', 487.3656);
INSERT INTO fatSales VALUES('FDF41', 'OUT049', 'Low Fat', 1231.73);
INSERT INTO fatSales VALUES('FDB56', 'OUT035', 'Regular', 3755.112);
INSERT INTO fatSales VALUES('NCP18', 'OUT027', 'Low Fat', 4363.6532);
INSERT INTO fatSales VALUES('FDB56', 'OUT046', 'Regular', 1314.2892);
INSERT INTO fatSales VALUES('FDT28', 'OUT045', 'Low Fat', 1805.6496);
INSERT INTO fatSales VALUES('FDD10', 'OUT027', 'Regular', 2854.9504);
INSERT INTO fatSales VALUES('FDW57', 'OUT049', 'Regular', 3896.2616);
INSERT INTO fatSales VALUES('DRB48', 'OUT013', 'Regular', 667.7974);
INSERT INTO fatSales VALUES('FDP09', 'OUT018', 'Low Fat', 3185.853);
INSERT INTO fatSales VALUES('FDH14', 'OUT013', 'Regular', 2247.7408);
INSERT INTO fatSales VALUES('FDA47', 'OUT013', 'Regular', 1794.331);
INSERT INTO fatSales VALUES('FDG12', 'OUT045', 'Regular', 2530.7058);
INSERT INTO fatSales VALUES('DRE60', 'OUT019', 'Low Fat', 679.116);
INSERT INTO fatSales VALUES('DRK49', 'OUT013', 'Low Fat', 812.276);
INSERT INTO fatSales VALUES('FDD03', 'OUT046', 'Low Fat', 699.09);
INSERT INTO fatSales VALUES('FDS52', 'OUT017', 'Low Fat', 2732.4432);
INSERT INTO fatSales VALUES('FDW39', 'OUT019', 'Regular', 176.437);
INSERT INTO fatSales VALUES('FDX34', 'OUT027', 'Low Fat', 4097.3332);
INSERT INTO fatSales VALUES('FDV11', 'OUT045', 'Regular', 3151.8972);
INSERT INTO fatSales VALUES('FDD17', 'OUT049', 'Low Fat', 5942.265);
INSERT INTO fatSales VALUES('FDZ16', 'OUT017', 'Regular', 4843.695);
INSERT INTO fatSales VALUES('FDZ46', 'OUT035', 'Low Fat', 2542.0244);
INSERT INTO fatSales VALUES('DRA12', 'OUT017', 'Low Fat', 2552.6772);
INSERT INTO fatSales VALUES('FDY58', 'OUT018', 'Low Fat', 1141.847);
INSERT INTO fatSales VALUES('NCF19', 'OUT017', 'Low Fat', 680.4476);
INSERT INTO fatSales VALUES('DRJ13', 'OUT045', 'Low Fat', 2085.9514);
INSERT INTO fatSales VALUES('FDB14', 'OUT010', 'Regular', 186.424);
INSERT INTO fatSales VALUES('FDJ38', 'OUT035', 'Regular', 3036.048);
INSERT INTO fatSales VALUES('FDW11', 'OUT017', 'Low Fat', 866.8716);
INSERT INTO fatSales VALUES('FDL40', 'OUT035', 'Low Fat', 868.869);
INSERT INTO fatSales VALUES('DRI49', 'OUT046', 'Low Fat', 1137.1864);
INSERT INTO fatSales VALUES('FDV38', 'OUT017', 'Low Fat', 928.1252);
INSERT INTO fatSales VALUES('DRG23', 'OUT013', 'Low Fat', 762.341);
INSERT INTO fatSales VALUES('NCP30', 'OUT045', 'Low Fat', 707.0796);
INSERT INTO fatSales VALUES('FDY25', 'OUT027', 'Low Fat', 7968.2944);
INSERT INTO fatSales VALUES('NCH54', 'OUT046', 'Low Fat', 1438.128);
INSERT INTO fatSales VALUES('NCR53', 'OUT027', 'Low Fat', 6976.2524);
INSERT INTO fatSales VALUES('FDS52', 'OUT010', 'Low Fat', 101.2016);
INSERT INTO fatSales VALUES('FDG02', 'OUT018', 'Low Fat', 952.094);
INSERT INTO fatSales VALUES('NCO26', 'OUT046', 'Low Fat', 1969.4364);
INSERT INTO fatSales VALUES('FDH35', 'OUT027', 'Low Fat', 5262.4832);
INSERT INTO fatSales VALUES('FDB51', 'OUT045', 'Low Fat', 1314.2892);
INSERT INTO fatSales VALUES('FDX44', 'OUT017', 'Low Fat', 535.3032);
INSERT INTO fatSales VALUES('NCN07', 'OUT010', 'Low Fat', 263.6568);
INSERT INTO fatSales VALUES('NCC31', 'OUT035', 'Low Fat', 1402.1748);
INSERT INTO fatSales VALUES('NCX54', 'OUT017', 'Low Fat', 1693.7952);
INSERT INTO fatSales VALUES('NCO55', 'OUT045', 'Low Fat', 2143.876);
INSERT INTO fatSales VALUES('NCC30', 'OUT049', 'Low Fat', 2676.516);
INSERT INTO fatSales VALUES('FDI16', 'OUT035', 'Regular', 905.488);
INSERT INTO fatSales VALUES('FDP16', 'OUT049', 'Low Fat', 7370.406);
INSERT INTO fatSales VALUES('FDB11', 'OUT035', 'Low Fat', 6301.1312);
INSERT INTO fatSales VALUES('NCB06', 'OUT035', 'Low Fat', 1597.92);
INSERT INTO fatSales VALUES('FDA45', 'OUT035', 'Low Fat', 529.311);
INSERT INTO fatSales VALUES('NCO26', 'OUT035', 'Low Fat', 1969.4364);
INSERT INTO fatSales VALUES('DRJ25', 'OUT017', 'Low Fat', 1034.6532);
INSERT INTO fatSales VALUES('FDR28', 'OUT018', 'Regular', 1794.331);
INSERT INTO fatSales VALUES('FDI04', 'OUT018', 'Regular', 2768.3964);
INSERT INTO fatSales VALUES('DRK12', 'OUT027', 'Low Fat', 898.83);
INSERT INTO fatSales VALUES('FDX20', 'OUT046', 'Low Fat', 3169.208);
INSERT INTO fatSales VALUES('NCI18', 'OUT018', 'Low Fat', 3589.9936);
INSERT INTO fatSales VALUES('FDB36', 'OUT018', 'Regular', 262.3252);
INSERT INTO fatSales VALUES('FDN13', 'OUT017', 'Low Fat', 1910.1802);
INSERT INTO fatSales VALUES('DRD24', 'OUT017', 'Low Fat', 1701.7848);
INSERT INTO fatSales VALUES('FDQ28', 'OUT013', 'Regular', 2471.4496);
INSERT INTO fatSales VALUES('FDM22', 'OUT013', 'Regular', 1331.6);
INSERT INTO fatSales VALUES('FDR07', 'OUT027', 'Low Fat', 1808.9786);
INSERT INTO fatSales VALUES('FDV25', 'OUT018', 'Low Fat', 3315.684);
INSERT INTO fatSales VALUES('DRF49', 'OUT046', 'Low Fat', 2618.5914);
INSERT INTO fatSales VALUES('FDW51', 'OUT046', 'Regular', 2769.728);
INSERT INTO fatSales VALUES('DRL01', 'OUT017', 'Regular', 5375.0034);
INSERT INTO fatSales VALUES('FDP25', 'OUT017', 'Low Fat', 2838.9712);
INSERT INTO fatSales VALUES('FDL50', 'OUT018', 'Regular', 1743.0644);
INSERT INTO fatSales VALUES('NCB30', 'OUT027', 'Low Fat', 5555.4352);
INSERT INTO fatSales VALUES('FDW11', 'OUT018', 'Low Fat', 619.194);
INSERT INTO fatSales VALUES('NCM43', 'OUT035', 'Low Fat', 2120.573);
INSERT INTO fatSales VALUES('FDK44', 'OUT017', 'Low Fat', 3823.0236);
INSERT INTO fatSales VALUES('FDM15', 'OUT013', 'Regular', 1360.2294);
INSERT INTO fatSales VALUES('FDS31', 'OUT013', 'Regular', 3969.4996);
INSERT INTO fatSales VALUES('FDI32', 'OUT010', 'Low Fat', 345.5502);
INSERT INTO fatSales VALUES('FDR47', 'OUT010', 'Low Fat', 585.2382);
INSERT INTO fatSales VALUES('FDB35', 'OUT045', 'Regular', 1010.6844);
INSERT INTO fatSales VALUES('NCU05', 'OUT010', 'Low Fat', 161.1236);
INSERT INTO fatSales VALUES('DRY23', 'OUT019', 'Regular', 42.6112);
INSERT INTO fatSales VALUES('FDO24', 'OUT045', 'Low Fat', 3010.7476);
INSERT INTO fatSales VALUES('FDQ28', 'OUT027', 'Regular', 6024.1584);
INSERT INTO fatSales VALUES('FDV39', 'OUT045', 'Low Fat', 988.713);
INSERT INTO fatSales VALUES('NCO17', 'OUT019', 'Low Fat', 239.688);
INSERT INTO fatSales VALUES('FDU50', 'OUT013', 'Regular', 1374.2112);
INSERT INTO fatSales VALUES('FDT12', 'OUT027', 'Regular', 4739.8302);
INSERT INTO fatSales VALUES('FDK58', 'OUT018', 'Regular', 1012.016);
INSERT INTO fatSales VALUES('FDO08', 'OUT019', 'Regular', 657.8104);
INSERT INTO fatSales VALUES('NCW29', 'OUT049', 'Low Fat', 778.986);
INSERT INTO fatSales VALUES('FDE04', 'OUT045', 'Regular', 2336.958);
INSERT INTO fatSales VALUES('NCB19', 'OUT049', 'Low Fat', 2233.0932);
INSERT INTO fatSales VALUES('FDV15', 'OUT049', 'Low Fat', 1661.8368);
INSERT INTO fatSales VALUES('FDL58', 'OUT049', 'Regular', 4745.8224);
INSERT INTO fatSales VALUES('FDA08', 'OUT045', 'Regular', 3124.5994);
INSERT INTO fatSales VALUES('FDT43', 'OUT018', 'Low Fat', 467.3916);
INSERT INTO fatSales VALUES('NCX06', 'OUT027', 'Low Fat', 5070.7328);
INSERT INTO fatSales VALUES('FDT20', 'OUT046', 'Low Fat', 540.6296);
INSERT INTO fatSales VALUES('FDB41', 'OUT046', 'Regular', 992.7078);
INSERT INTO fatSales VALUES('NCN55', 'OUT049', 'Low Fat', 6008.845);
INSERT INTO fatSales VALUES('FDE40', 'OUT027', 'Regular', 2105.2596);
INSERT INTO fatSales VALUES('FDX49', 'OUT027', 'Regular', 5359.69);
INSERT INTO fatSales VALUES('NCM53', 'OUT045', 'Low Fat', 745.696);
INSERT INTO fatSales VALUES('FDE36', 'OUT035', 'Regular', 3275.736);
INSERT INTO fatSales VALUES('FDN57', 'OUT045', 'Low Fat', 1701.7848);
INSERT INTO fatSales VALUES('FDI24', 'OUT027', 'Low Fat', 6704.606);
INSERT INTO fatSales VALUES('FDI19', 'OUT046', 'Low Fat', 4119.9704);
INSERT INTO fatSales VALUES('FDF24', 'OUT010', 'Regular', 327.5736);
INSERT INTO fatSales VALUES('FDG52', 'OUT049', 'Low Fat', 780.9834);
INSERT INTO fatSales VALUES('DRF36', 'OUT045', 'Low Fat', 3630.6074);
INSERT INTO fatSales VALUES('FDS45', 'OUT019', 'Regular', 317.5866);
INSERT INTO fatSales VALUES('FDX40', 'OUT010', 'Low Fat', 231.6984);
INSERT INTO fatSales VALUES('DRK12', 'OUT035', 'Low Fat', 133.16);
INSERT INTO fatSales VALUES('DRC27', 'OUT035', 'Low Fat', 5650.6446);
INSERT INTO fatSales VALUES('FDL58', 'OUT017', 'Regular', 2636.568);
INSERT INTO fatSales VALUES('NCD30', 'OUT045', 'Low Fat', 1272.3438);
INSERT INTO fatSales VALUES('NCZ54', 'OUT010', 'Low Fat', 324.9104);
INSERT INTO fatSales VALUES('FDE10', 'OUT010', 'Regular', 131.1626);
INSERT INTO fatSales VALUES('FDR44', 'OUT010', 'Regular', 260.9936);
INSERT INTO fatSales VALUES('FDP28', 'OUT010', 'Regular', 260.9936);
INSERT INTO fatSales VALUES('FDX15', 'OUT013', 'Low Fat', 3690.5294);
INSERT INTO fatSales VALUES('FDA39', 'OUT035', 'Low Fat', 1139.1838);
INSERT INTO fatSales VALUES('FDY24', 'OUT049', 'Regular', 1995.4026);
INSERT INTO fatSales VALUES('FDC60', 'OUT017', 'Regular', 1416.8224);
INSERT INTO fatSales VALUES('FDH28', 'OUT046', 'Regular', 265.6542);
INSERT INTO fatSales VALUES('FDT25', 'OUT017', 'Low Fat', 3552.7088);
INSERT INTO fatSales VALUES('DRJ13', 'OUT013', 'Low Fat', 2406.867);
INSERT INTO fatSales VALUES('NCO07', 'OUT019', 'Low Fat', 213.056);
INSERT INTO fatSales VALUES('FDW20', 'OUT013', 'Low Fat', 2956.152);
INSERT INTO fatSales VALUES('DRF27', 'OUT019', 'Low Fat', 153.134);
INSERT INTO fatSales VALUES('FDS49', 'OUT035', 'Low Fat', 1649.8524);
INSERT INTO fatSales VALUES('FDX25', 'OUT027', 'Low Fat', 3101.2964);
INSERT INTO fatSales VALUES('NCX42', 'OUT027', 'Low Fat', 4769.1254);
INSERT INTO fatSales VALUES('FDG33', 'OUT027', 'Regular', 3435.528);
INSERT INTO fatSales VALUES('FDL56', 'OUT045', 'Low Fat', 1133.8574);
INSERT INTO fatSales VALUES('FDF14', 'OUT035', 'Low Fat', 2603.278);
INSERT INTO fatSales VALUES('NCD06', 'OUT046', 'Low Fat', 605.878);
INSERT INTO fatSales VALUES('DRM47', 'OUT027', 'Low Fat', 2293.0152);
INSERT INTO fatSales VALUES('FDS46', 'OUT019', 'Regular', 119.1782);
INSERT INTO fatSales VALUES('FDB35', 'OUT013', 'Regular', 1929.4884);
INSERT INTO fatSales VALUES('FDX21', 'OUT027', 'Low Fat', 2074.6328);
INSERT INTO fatSales VALUES('NCU05', 'OUT027', 'Low Fat', 241.6854);
INSERT INTO fatSales VALUES('NCR38', 'OUT045', 'Low Fat', 6795.1548);
INSERT INTO fatSales VALUES('NCR18', 'OUT017', 'Low Fat', 639.168);
INSERT INTO fatSales VALUES('NCU41', 'OUT035', 'Low Fat', 3248.4382);
INSERT INTO fatSales VALUES('FDY56', 'OUT017', 'Regular', 7222.5984);
INSERT INTO fatSales VALUES('DRJ51', 'OUT035', 'Low Fat', 3225.1352);
INSERT INTO fatSales VALUES('FDK21', 'OUT035', 'Low Fat', 3755.112);
INSERT INTO fatSales VALUES('FDY25', 'OUT013', 'Low Fat', 3440.8544);
INSERT INTO fatSales VALUES('FDU44', 'OUT035', 'Regular', 974.7312);
INSERT INTO fatSales VALUES('FDL43', 'OUT049', 'Low Fat', 535.969);
INSERT INTO fatSales VALUES('FDF05', 'OUT017', 'Low Fat', 5259.82);
INSERT INTO fatSales VALUES('DRF15', 'OUT019', 'Low Fat', 306.268);
INSERT INTO fatSales VALUES('FDL20', 'OUT018', 'Low Fat', 1779.0176);
INSERT INTO fatSales VALUES('FDV32', 'OUT049', 'Low Fat', 759.012);
INSERT INTO fatSales VALUES('FDJ34', 'OUT013', 'Regular', 1877.556);
INSERT INTO fatSales VALUES('FDG08', 'OUT045', 'Regular', 3779.0808);
INSERT INTO fatSales VALUES('FDQ04', 'OUT019', 'Low Fat', 41.2796);
INSERT INTO fatSales VALUES('FDW13', 'OUT017', 'Low Fat', 259.662);
INSERT INTO fatSales VALUES('NCI17', 'OUT013', 'Low Fat', 193.082);
INSERT INTO fatSales VALUES('FDY03', 'OUT045', 'Regular', 1687.803);
INSERT INTO fatSales VALUES('FDS12', 'OUT017', 'Low Fat', 4655.9394);
INSERT INTO fatSales VALUES('FDJ55', 'OUT013', 'Regular', 4950.8888);
INSERT INTO fatSales VALUES('DRK01', 'OUT035', 'Low Fat', 1418.154);
INSERT INTO fatSales VALUES('FDG28', 'OUT017', 'Regular', 1225.072);
INSERT INTO fatSales VALUES('FDY38', 'OUT045', 'Regular', 5359.69);
INSERT INTO fatSales VALUES('FDN01', 'OUT045', 'Low Fat', 1764.37);
INSERT INTO fatSales VALUES('NCR54', 'OUT013', 'Low Fat', 2553.343);
INSERT INTO fatSales VALUES('FDG29', 'OUT013', 'Low Fat', 1006.6896);
INSERT INTO fatSales VALUES('FDG24', 'OUT013', 'Low Fat', 1081.925);
INSERT INTO fatSales VALUES('FDG59', 'OUT017', 'Low Fat', 308.9312);
INSERT INTO fatSales VALUES('FDM28', 'OUT013', 'Low Fat', 2516.724);
INSERT INTO fatSales VALUES('FDW04', 'OUT046', 'Regular', 1428.141);
INSERT INTO fatSales VALUES('FDS26', 'OUT013', 'Low Fat', 2093.2752);
INSERT INTO fatSales VALUES('FDQ56', 'OUT013', 'Low Fat', 1929.4884);
INSERT INTO fatSales VALUES('FDK51', 'OUT035', 'Low Fat', 5829.7448);
INSERT INTO fatSales VALUES('FDL22', 'OUT046', 'Low Fat', 2082.6224);
INSERT INTO fatSales VALUES('FDH19', 'OUT027', 'Low Fat', 7298.4996);
INSERT INTO fatSales VALUES('FDY55', 'OUT013', 'Low Fat', 7452.9652);
INSERT INTO fatSales VALUES('FDY03', 'OUT017', 'Regular', 450.0808);
INSERT INTO fatSales VALUES('FDK21', 'OUT010', 'Low Fat', 500.6816);
INSERT INTO fatSales VALUES('FDZ10', 'OUT027', 'Low Fat', 3668.558);
INSERT INTO fatSales VALUES('FDZ32', 'OUT018', 'Regular', 736.3748);
INSERT INTO fatSales VALUES('NCZ18', 'OUT035', 'Low Fat', 6088.0752);
INSERT INTO fatSales VALUES('NCF07', 'OUT027', 'Low Fat', 2125.2336);
INSERT INTO fatSales VALUES('DRE49', 'OUT017', 'Low Fat', 2277.036);
INSERT INTO fatSales VALUES('FDJ08', 'OUT019', 'Low Fat', 573.2538);
INSERT INTO fatSales VALUES('FDT39', 'OUT035', 'Regular', 2267.049);
INSERT INTO fatSales VALUES('FDE08', 'OUT010', 'Low Fat', 296.9468);
INSERT INTO fatSales VALUES('NCD06', 'OUT018', 'Low Fat', 559.272);
INSERT INTO fatSales VALUES('FDB57', 'OUT035', 'Regular', 5559.43);
INSERT INTO fatSales VALUES('NCT54', 'OUT049', 'Low Fat', 1237.7222);
INSERT INTO fatSales VALUES('DRF49', 'OUT045', 'Low Fat', 569.259);
INSERT INTO fatSales VALUES('FDM25', 'OUT027', 'Regular', 3866.9664);
INSERT INTO fatSales VALUES('FDF20', 'OUT045', 'Low Fat', 1379.5376);
INSERT INTO fatSales VALUES('FDH27', 'OUT018', 'Low Fat', 1869.5664);
INSERT INTO fatSales VALUES('FDV60', 'OUT027', 'Regular', 5499.508);
INSERT INTO fatSales VALUES('FDY59', 'OUT049', 'Low Fat', 925.462);
INSERT INTO fatSales VALUES('FDK36', 'OUT035', 'Low Fat', 583.2408);
INSERT INTO fatSales VALUES('NCM31', 'OUT046', 'Low Fat', 1418.154);
INSERT INTO fatSales VALUES('FDE33', 'OUT017', 'Regular', 942.7728);
INSERT INTO fatSales VALUES('FDU36', 'OUT046', 'Low Fat', 2364.9216);
INSERT INTO fatSales VALUES('FDV13', 'OUT027', 'Regular', 3251.7672);
INSERT INTO fatSales VALUES('FDV20', 'OUT019', 'Regular', 254.3356);
INSERT INTO fatSales VALUES('NCQ54', 'OUT035', 'Low Fat', 5895.659);
INSERT INTO fatSales VALUES('FDO23', 'OUT018', 'Low Fat', 1134.5232);
INSERT INTO fatSales VALUES('DRE60', 'OUT045', 'Low Fat', 7696.648);
INSERT INTO fatSales VALUES('DRP47', 'OUT017', 'Low Fat', 2775.7202);
INSERT INTO fatSales VALUES('FDB21', 'OUT045', 'Low Fat', 5317.0788);
INSERT INTO fatSales VALUES('FDR04', 'OUT018', 'Low Fat', 874.8612);
INSERT INTO fatSales VALUES('FDX23', 'OUT046', 'Low Fat', 1039.9796);
INSERT INTO fatSales VALUES('FDX19', 'OUT035', 'Low Fat', 3038.0454);
INSERT INTO fatSales VALUES('FDD40', 'OUT035', 'Regular', 3848.324);
INSERT INTO fatSales VALUES('FDA01', 'OUT046', 'Regular', 527.3136);
INSERT INTO fatSales VALUES('FDS33', 'OUT046', 'Regular', 2390.8878);
INSERT INTO fatSales VALUES('FDM50', 'OUT027', 'Regular', 1677.816);
INSERT INTO fatSales VALUES('FDB29', 'OUT013', 'Regular', 801.6232);
INSERT INTO fatSales VALUES('FDF46', 'OUT045', 'Low Fat', 1267.0174);
INSERT INTO fatSales VALUES('FDA33', 'OUT045', 'Low Fat', 886.8456);
INSERT INTO fatSales VALUES('FDC08', 'OUT010', 'Regular', 452.744);
INSERT INTO fatSales VALUES('FDB53', 'OUT045', 'Low Fat', 3877.6192);
INSERT INTO fatSales VALUES('FDY31', 'OUT027', 'Low Fat', 4414.254);
INSERT INTO fatSales VALUES('DRQ35', 'OUT027', 'Low Fat', 5448.9072);
INSERT INTO fatSales VALUES('FDX36', 'OUT049', 'Regular', 4950.8888);
INSERT INTO fatSales VALUES('DRD13', 'OUT017', 'Low Fat', 958.752);
INSERT INTO fatSales VALUES('FDC52', 'OUT017', 'Regular', 1956.1204);
INSERT INTO fatSales VALUES('FDB45', 'OUT049', 'Low Fat', 2404.2038);
INSERT INTO fatSales VALUES('NCK19', 'OUT010', 'Low Fat', 387.4956);
